labels,text
1,jvois vla les renois comment il parle des blanc sa vnr et tu lui sors c'est raciste il te dis très sereinement … @url
1,rejetez le machisme blanc vous aurez le machisme africain.
0,doudoune et ugg vraiment les renois abusent #jaimelestylehivermaispaslefroid #jsuisunevraigwada
1,c est qui le mongol en face bourdin? @url
1,#cedricherrou demande aux politiques français de gérer des migrants. quid des dirigeants africains + occupés à s'en… @url
1,je suis coincé à berlin entre une manifestation d'extrême droite contre l'avortement une autre de gauchistes et un… @url
1,@user @user liebig . comme tout bon gauchiste attise le racisme anti blanc et anti français !!!!
1,@user @user et évidemment pas capable de m'envoyer un lien pauvre attardé random congénital. maintenant… @url
1,@user tu nous ramène une maladie de jérusalem?]
1,@user la moitié des renois ici ils ont le seum contre les arabes mais c bon jtweet sur les renois 1 fois s'attaque trop à eux
1,@user @user @user non mais laisse le ce gros mongol il va tweeter un complot de l uefa pro catalan dans 5min
1,vidéo voici comment des migrants africains vivent en #france c'est pire qu'en #afrique @url
0,@user décidément n'importe quel attardé peut de nos jours détenir la carte professionnelle. revoyez le con… @url
1,@user mathilde c est normal il bien une tète intello attardé !doux baisers
0,@user @user @user mr simon vous ne pouvez justifier voir atténuer la violence des propos de mr zemmou… @url
1,Être 4 renois dans une 206 musique fond vapotes à gogo et oublier les papiers de la voiture
0,je suis végétarien et voici ce que rencontre avec un éleveur mongol m'a fait réaliser sur l'écologie @url
1,@user @user @user de plus la majorité des migrants venant en france ne cherchent pas du tout le n… @url
1,@user j'espère que pas eu un mongol qui essayé de prouver ça en sautant depuis son balcon
1,rt @user y'a une meuf dans classe elle se pleins du racisme envers les arabes mais taleur elle traiter un asiatique de ching cho
1,@user c'est un golden retriever une race créée par des blancs ces ching chong ne méritent ni nos chiens ni nos inventions.
1,ce n'est pas seulement à #chateaurouge l'avancée de l'immigration et de l'islamisation sont visibles dans nos rues… @url
0,dc maintenant dire que @user ou le @user sont des lobby juif et sioniste sachant qu'il se revendique tel que… @url
1,@user @user @user @user @user @user @user bah précise qui tu demande t'es con ou t'es attardé ?
1,musée mémorial des victimes du terrorisme
1,c'est france inter sur papier repère gauchiste
1,je suis trop attardé sur le bonheur des gens j'ai laisser passer l'mien ...
0,ce n'est pas tous les renois qui suivent son raisonnement ne l'insulte pas tu perds des hassanets pour rien @url
1,le hashtag #pasdevague sonne enfin le glas de l'ideologie laxiste gauchiste qui predomine depuis des annees au se @url
1,@user @user mdrrrr attends t'as vraiment cru qu'ils allaient pas répondre à une attardé qui dit d… @url
1,@user @user fascinant la capacite des gauchistes tjrs rejeter la faute sur les autres. cessez dimp… @url
0,@user @user @user les arabes empruntent le zéro aux indiens au ix eme siècle !!!
1,@user @user mais c'est une vidéo qui tourne bande de mongol mdrr
1,zemmour aphatie radicalité de l'un terrorisme intellectuel de l'autre ... une maladie: les idéologies une vic… @url
1,@user sale juif musulmans je vais salé tes morts et les manger
0,qui de deter aller au chinois ds la semaine la j...ai trop envie d...un noich
1,@user laisse tomber t'es un mongol
1,@user j'y peut rien si t'es attardé et ta pas compris
0,euthanasie avortement peine de mort #pma #gpa la société contre la vie bat son plein et le diable vous embra… @url
0,c'est tres classique qu'apres une periode gauchiste un redressement s'effectue d'autant plus violent que la period @url
0,@user c'est de la violence dont vous êtes le produit?
1,bon débarras ! laisse le journal lemonde pleurer adepte de l'islamisation et de l'africanisation de notre conti… @url
1,est-ce que ça existe des familles renois qui adopte des enfants blancs ?
1,@user que des renois qui sont d'accord avec son tweet ...
1,@user ya pas besoin d'avoir 2000 personne pour qu'il ait danger. un rageux gauchiste suffit.
1,@user @user @user que mongol
1,@user @user et puisqu'on est là dessus les chiffres soit disant arabes que nous utilisons ne sont p… @url
1,@user @user @user materialiste et extreme gauchiste c'est pas tres compatible si ??? t'as re... @url
1,qu'attendre d'un gauchiste moustachu la staline ? Ça! @url
1,@user les renois du havre c'est des bon barges
1,@user mais je suis tout fait d'accord avec vous. je ne suis pas un islamo-gauchiste et je ne nie pas l'antisem... @url
0,@user @user @user @user @user juste un gauchiste toujours à donner des leçons de morale
1,us #pittsburgh 11 morts dans l'attaque de la synagogue #treeoflife assaillant arrêté un néo nazi complotiste anti… @url
1,@user pareil moi c est tout le temps de la violence genre j assisté à un meurtre
1,@user @user putain j'ai tellement peur devant tant d'argument d'attardé
1,d'autres moyens sont déployés pour empêcher l'exode de migrants economiques africains et décourager leur transit pa… @url
1,candidate démocrate en iowa interview sur les menaces contre l'avortement en oregon États qui ont commencé à vote… @url
1,@user @user un gros mongol qui va porter plainte pour un compte parodique heureusement que la hon… @url
1,ya des renois dans tl cest mariage franchement
1,@user tu rigolais aussi quand charb allait acheter son pain avec une protection policière pauvre gauchiste demeuré ?
0,@user @user vous comprenez tout de travers. il n'appelle pas les africains à franciser leurs noms… @url
1,@user et je vois pas en quoi traiter de mongol serait une insulte ? espèce de russe
1,@user @user les frères musulmans dans tout leur délire complotiste antisémite et supprémaciste
1,nikomouk sale arabe toi et ton poignet tordu — azzedine fdp tout trikard ta grand mere @url
0,bien des migrants vivaient aussi dans l'illégalité aux États-unis @url
0,@user @user mairie socialope islamo-gauchiste traitre à la france pour résumer
1,le secours catholique ardent promoteur de l'ensauvagement et de l'islamisation de l'europe ! son catholicisme dévo… @url
1,@user @user vous connaissez un autre mot que extreme droite madame la gauchiste? ca fait un peu cuc... @url
0,l'islamisation de la france en pleine expansionle résultat de l'infiltration des musulmans ds ts les strates de la… @url
1,- grèce : augmentation du nombre d'enfants réfugiés et migrants… @url
1,dois mongol @url
0,les rebeus il glo à la fac grâce à la barbe
1,les latinos les renois @url
1,@user il également laissé entendre qu'islam = terrorisme. tranquillou un samedi soir sur une chaîne du se… @url
1,@user eh bin tu restes à oran!!! sale arabe que tu es
0,les tutos en français sur youtube c'est insupportable les 3/4 des vidéos c'est des mecs ils te parlent comme si t'étais un attardé
1,alors pourquoi cette condamnation ? la faute à une justice « gauchiste » à de mauvaises fréquentations ?! vous ête… @url
0,@user dirait un gros daron antillais sur la derniere
1,plutôt déçu du début de la s6 de house cards qui s'attarde trop sur l'héritage de francis et pas assez sur l'évo… @url
1,@user @user ah arrive le gauchiste ne supportant pas qu'on ne puisse avoir un avis different. bon blocage faites vous plaisir
1,@user @user ptdrrrrr même aps c'est pck il fait que rt dès truc et sais que la plupart des renois d… @url
0,@user je ne suis pas un gauchiste comme tu le dis. je ne suis jamais considere de gauche. toi tu es... @url
1,ce qui tue c'est que meme offset il en marre de cardi b wallah apars sa reuss personne peut la supporte cette grosse mongol
1,@user ah oui le tryptique immigration délinquance terrorisme. qui est conforté par le nombre d'attentats te… @url
1,mais ferme ta gueule les renois fake woke ptn @url
1,arrêtez de crier à l'invasion quand la méditerranée est devenu le cimetière de la majorité des mig… @url
1,@user tkt ses des mongol
1,@user c pas pro wallah c à cause d'eux qu'on est tous vu comme des mongol
0,@user @user @user ouais mais si les arabes ont perdu la et pas ailleurs c'est aussi parce que nous… @url
1,les chemins montagneux à 1700 m: les nouvelles voies empruntées par les migrants africains pour rejoindre l'italie… @url
1,tout comme l'allemand mène au nazisme quel attardé ce mec @url
1,quand croise des rebeus
1,@user mdrrrrr engage sale arabe
1,inviter des arabes et des noirs sur un plateau télé c'est p…
1,@user un vlog d'attardé à l'ancienne
1,les renois à rennes savent que courir
1,je suis en train de nettoyer chambre et vous savez sur quoi je m'attarde le plus ? le rangement de mon makeup ma… @url
0,@user @user @user @user ? quelle forme de violence ? je pose juste la question de savoir ce q… @url
1,"série d'agressions avec violence : ""des faits de trop mais peu nombreux"" en corse @url @url"
1,@user @user @user @user bah meilleur que tes mensonges de naïf attardé qui croit que la loi… @url
0,@user je déteste alain soral. c'est un raciste antisémite complotiste manipulateur
0,@user si vous voulez mon avis le patient mike doit canaliser tout son amour sous forme de violence...
1,@user @user @user le probleme c'est qu'un gauchiste profond peut rédiger un tel tweet. gauche=maladie mentale
1,@user @user blabla de politicard attardé cherchant le buzz
1,@user @user @user @user @user @user mongol
1,bon les renois vous êtes retourné chez h&m depuis votre cinéma là ?
0,@user bouahahhaa il se branle sur les cosplay de sneaky cet attardé
1,pour en finir avec la cruelle imposture des migrants (4/4) - abbé olivie... @url via @user
1,non mais c'est quoi ce mongol macron il vit dans quel monde
0,#harcèlement sociale. piratage informatique. vandalisme auto
1,même histoire bi-llahi.. alala les hommes des vrais mongol pour la plus part @url
1,@user @user @user mdrr dirait le mien j'dois le réanimer toutes les 5 minutes ce mongol..
1,@user c'est un helicoptere attarde mental
1,@user @user jeu chui attardé ui @url
1,@user @user t'est matrixé ou juste attardé gros fdp?
1,mdrr fallou mongol un vrai saï saï regardez le deal qu'il pose à l'animatrice... @url
1,rilès quand il lâche 2 3 mots rebeus dans ses sons il mtue
1,faut vraiment être un attardé mentale pour dire le projet de post malone c'est l'album de l'année
1,@user @user @user @user en quoi dire sale arabe relève de la dénonciation légitime des… @url
1,@user c'est là qu'on voit que ce sont des réfugiés parce que dans son pays il aurait au moins une machette.
1,@user et le rire de ce mongol de lucas tout bourré
1,@user @user merde aux juifsmerde aux arabesmerdes aux blancs aux noirs.nous sommes des humains un point c est tout !
1,@user putain ce gars... même quand j'étais jeune et gauchiste je ne pouvais pas le voir en peinture ce fdp !
1,@user les rebeus tu leur files un flingue ou une grosse cylindrée ils se sentent plus pisser....
1,@url - dans ce genre le rap mongol vaut le détour ! @url
1,@user comme tout bon gauchiste qui se respecte vous préférez critiquer le fait que l'on ai parlé de ce type… @url
1,#grandremplacement le gvt de #madrid n'a pas l'intention d'expulser les #migrants mineurs marocains et leurs fami… @url
1,@user nasser kiffe les rebeus cherche pas
1,ras-le-bol massif de l'islamisation d… @url
1,@user @user il faut se poser la question : la france veut-elle encore plus de violence et d'agressions? car… @url
0,qué mongol ce germain il court jusqu'au champs Élysée au lieu de rester placé devant les cages
1,la diarrhee gauchiste en pls...n#bolsonaro @url
0,@user vive les rebeus @url
0,pensez-vous que les rebeus et renois s'aiment réellement ?
1,les meufs renois grosse c ultra rare jai limpression
1,@user je suis le copain un peu bizarre celui que t'aime bien malgré le fait qu'il soit un peu attardé
1,@user mais dirait les renois c'est pas des êtres humains vu comment il en parle????
0,@user @user 2/2 de predateurs mangent aussi par gout renseigne toi le chat est l...exemple par... @url
0,#europe #france grèce: les transferts de réfugiés et migrants vers le continent s'accélèrent @url
1,40 années de laxisme gauchiste !!!! @url
1,je déteste @user sale arabe @url
1,utopie gauchiste
1,l'attardé qui marque
1,t'aimes bien les rebeus ? — j'ai rien contre mdrr @url
1,@user @user @user @user absolument rien compris tu viens de dire que t'étais à l'école espèce d'attardé
1,@user @user merci pour l...insulte.n@url
1,mais joséphine arrive à pecho des rebeus avec sa couleur de cheveux? — mdr vous la sous-estimez beaucoup trop @url
0,rt @user la logique d'un gauchiste #npc #npcmeme @url
1,avec tout ses rebeu et ses renois en @user Éric zemmour du faire une dépression quand la @user gagné la coupe du monde.
1,@user @user ostie que t'es mongol
1,@user @user @user bz tes morts sale juif
1,soral dieudonné sur les juifs : c'e…
1,@user les sunnites autorisent meurtrespédophiliepolygamie violence contre les femmes etc.tous les pays… @url
0,normalement en afrique nos dirigent doivent utiliser 50% de dictature et 50% de démocratie
1,vu que je suis métisse quand je traine avec un groupe de renois ils disent tous que je sui…
1,@user @user complice ..... tu diras gauchiste c pareil
1,@user @user normal aucuns blancs veux des arabes cette salle race veux pas de vous aimes les… @url
1,@user ça dépend ou tu vas :) en sicile j'ai vu pas mal de renois et ils avaient pas l'air dégouté ;)
1,@user @user sauf que les rebeus qui utilisent le terme c'est pour qualifier la fille de prostituée et de ma… @url
0,@user la vraie question est: la france veut-elle encore un peu plus de violence !?
0,@user ils sont aussi complotiste anti-vaccin ?
1,lyon trop de petits rebeus de qualité @url
1,@user @user @user il semblerait que tu ai ramené un parasite que dis je une maladie vénéri… @url
1,@user @user @user ok mongol... range ta chambre.
1,les arabes même quand ils sont malades c la faute du mauvais œil @url
1,mieux que le beat box! le mongol à la branche enflammée #lfauit
1,@user @user @user j'avoue c'est un gros troll ce mongol x)
1,@user @user des fils de putes autant que quand aime pas les noirs ou les arabes
1,@user @user tu é mongol
1,@user @user mais le renois c'est pas le pote de jaymax là ?
1,@user différentes idéologies ont pu employer le terrorisme au moment opportun. en revanche l'islam politique… @url
1,les chasseurs cette annee c'est des attardé ou quoi que des dingueries....mais bon tant que c'est pas des noirs ou… @url
1,@user @user couillon gauchiste et vrai cretin genre ! casse-toi !
1,tiens j'ai une blague de mongol pour égayer votre lundi...
1,@user @user mskn s'en bat les couilles de bassem il nous raconte ça vie le nombre de cas social chez les renois frère
0,@user @user tu plus fait pour la communauté musulmane rohyngia que tous les dirigeants arabes réunis… @url
1,wallah nous au cinéma un rebeu crier tous le monde répondu : oh ferme ta gueuke va te niker apres il s'est e… @url
1,@user @user @user @user @user ok l'attardé.
1,en toute franchise quel que soient votre origine keske pense vos parents des rebeus en general...
0,paris: un centre d'hébergements pour réfugiés ouvre dans le 16e @url via @user… @url
1,@user @user @user oui mais ce sont les juifs ashkénazes qui ont un qi moyen très élevé et qui ont p… @url
1,mon voisin du dessus il est pour le psg ce mongol il vient de faire un énorme hurlement en criant « mbappeeeeee » o… @url
1,des noirs au milieu des rebeus pour la technique c'est mon lyon ça @url
0,de châtelet à gare du nord tu croise que des renois/ tysmés en survêt + teinture blonde flm
1,@user @user sacrilege pas gauchiste ultra gauchiste!!! pour les 30h voire les 24h (3x8) pour le smic a... @url
1,@user @user @user @user @user texte idiot sans doute ecrit par un prof gauchiste de… @url
1,ptdrr débat d'attardé entre un panarabiste et un nationaliste marocain
0,@user @user j'aimerais bien savoir pourquoi « l'islamogauchiste » est votre ennemi principal et… @url
1,1967 - guerre des six jours manifestations dans le monde en soutien à l'État juif
0,regarder ces attardé ptn est pas dans la merde pour 2019... @url
1,@user @user @user depuis quand besoinde la tv pour etre informé ??? putain de mongol ca fait peur
1,kabyle et renois @url
1,@user @user ah putain t'es encore plus un attardé en fait
1,@user critique pas l'5 stp dans l'16 y'a renois qui s'font sucer
1,point immigration islam terrorisme arabe avec marine le pen c'est maintenant! heuuu wauquiez #lemissionpolitique
1,#migrants à cergy:dans la rue nus agressant sexuellement les femmes les battant quand elles refusent:ca est:le… @url
1,kevin il se bat avec tous les rebeus avec une moustache pr mieux froisser berka #verité
1,@user sim tu eh outro nivel de mongol
1,ils minimisent totalement le harcèlement etc même pour avoir taffer je reste carrément choquée de la manière dont… @url
0,@user @user @user @user tu prefere la violence libre à toi. nous préfère qu il fin… @url
1,Ça tombe bien le territoire recrute! moûtiers : 19 réfugiés arriveront début octobre @url
1,@user jpp t'es un putain de mongol tommy
1,@user mdsdois mongol
1,@user bh toi un gros mongol en quoi c drol nab????
0,des #migrants clandestins armés s'affrontent devant la fac d'éco-gestion à #marseille. les expulser est une urgence… @url
1,les daronnes renois elles parlent avec les yeux mdrr
1,@user au jz tu trainais avec des rebeus et des footeux ?
1,@user putain j'écrit comme un attardé c'est incroyable
1,@user avec en légende : « les renois toujours dans l'excès »
1,tu sauves des migrants @url
1,@user @user chama de mongol n satanas
1,@user absolute mongol
1,rt @user hier je parlais avec un intello-gauchiste qui m'a dit:nnfaut bien reconnaitre qu'une seule religion aujourd'hui pose
1,#grèce: les transferts de réfugiés et migrants vers le continent s'accélèrent.
1,@user @user comme vous n'êtes pas juif vous êtes con et sale.
1,série d'agressions avec violence : des faits de trop mais peu nombreux en corse @url
1,ben alors les arabes ne donnent pas de sous à l'unrwa mais le reste du monde oui? Ça donne pas de sous ça récupèr… @url
1,je vais vous le refaire pour votre plaisir: toi prof gauchiste qui gagne une misere qui critique l'autorite quand @url
0,@user Être de gauche voir gauchiste n'est pas un crime non plus.
1,en 77passe dire bjr mon cousinson ami gauchiste avec qui il fait conakry en 1958memel foteh disaitpr rel @url
1,@user 2 mongol
1,@user c ca votre problrme les arabes essaye detre sympatique direct dans la violence apres ca minsulte qd jvote fn
1,liverpool l'islam le psg le terrorisme fuck nasser
1,les renois qui sont dans les délires darkskin lighskin kinkin skin foison ils font trop rire ces guignols avec leur classification la
0,(charente libre): l'#italie adopte une loi pour expulser plus vite les migrants : le conseil des ministres italie… @url
1,l'attardé de bogota @url
1,@user mais gros dirait que t'es un mongol t'es sorti 3 fois de chez toi pour trouver t'as l'air d'avoir… @url
1,petite pensée aux rebeus qui se font contrôler 8 fois par semaine sachez que benalla va acheter chaque matin son j… @url
1,j'suis contre l'avortement c'est tout @url
1,@user jvais changer mongol
1,c'est qui le mongol qui se lève à 4h et qui se pointe au boulot alors qu'il est en vacance? c'est moi ;)
1,@user @user mongol
1,@user @user indecrottable gauchiste e.n.!
1,@user weeeee joyeux anniversaire sale juif
1,wallah wallah axel il est trop marrant ce mongol il régale
0,@user peut-on imposer son (4x4 qui pue | caractère pourri | imbécilité | violence | chat | incontinence | a… @url
1,@user je sais très bien mais je pouvais pas citer les origines de tt les renois logique
0,pq j'vois au states les renois il saute à l'eau avec des chaussettes et tout mdrr
1,@user @user @user « c'est pas un drame en soit » mais tu m'a qd même traite de « mongol » pe… @url
1,d'ailleursil un mec dans classe (vrai 2001 attardé) « les filles qui prennent des nudes c des putes » forc… @url
1,la société médiatique française est très branchée multiraciale multiculturaliste pro migrants pro immigrés dan… @url
1,les musiques rebeus ça remonte le moral
0,@user @user @user mon dieu ! ca doit etre formidable d'avoir un cerveau de gauchistes..... @url
1,@user @user @user un mongol supporter de foot donc un sous chien amoureux de l'islam qui bave
1,n'empêche sans faire l'intellectuel faut vraiment être sacrément attardé et bas mentalement pour aimer regarder ce… @url
1,il sauvé un être tres cher à moi de la maladie. le croyait mort. mais je sais que c'est dieu qui l'a ramené à… @url
1,mais qui est l'attardé qui rédigée cette loi de merde ? @url
1,@user c'est tout de même un sacré raccourci que de relier les rothschild à une théorie du complot antisémite… @url
1,confÉrence – tintin dans les pays arabes @url
0,@user l'endoctrinement gauchiste fonctionne plein pot sur des cliches leur pille leurs richesses le... @url
0,tout les jours negro c'est fridayyyyyyyy
1,grèce: les transferts de réfugiés et migrants vers le continent s'accélèrent @url @url
1,@user non je connais juste le commentaire que tu partages tout fièrement et qui prouve que t'es juste un attardé pour oser en rigoler
1,@user t'as vu mgl ? j'ai réuni les sœurs tiramisu les rebeus dégradés les pp mangas et les lgbt pour hagar
1,le t4 de prison lab permet d'appréhender un peu mieux l'organisation de cette expérience malsaine. s'attarde bea… @url
0,@user @user @user l'islam interdit le terrorisme de la manière la plus claire :
1,« kinkinkin moi je préfère qu'on trompe pas tout court » vous êtes attardé ou quoi c'est comme si jvous dit « oa… @url
0,@user @user grosso modo les ouïghours sont un peuple turc (ou turco-mongol) et musulman. bien s… @url
1,@user @user @user ouais bien sur et j met chaussure gauche au pied droit jui pas un attarde non plus fdp
0,@user quand fait du choc des civilisations la base de la lutte contre le terrorisme revigore l'at… @url
0,@user un témoin de l'empreinte des presque trois cents ans d'existence cumulées de l'empire mongol et de la horde d'or.
0,@user @user ps mais el acquiaissais tout ce qu'el disait el disait à la russe laisser tomber faut ps par… @url
1,@user @user ils ont du mal
1,@user gngn mongol tveu jle dise comment sans citer au moins 1 fois
1,cc @user @user @user @user @user @user
0,en écoutant cette chanson en entier se rend compte des influences arabes grâce aux sonorités utilisées en fond.… @url
1,@user @user le terrorisme intellectuel du lobby homosexuel à la mairie de paris en parle?
1,@user @user @user j'ai juste lu onfray gauchiste et j'ai arrete
1,qui est le plus gros attardé ?
1,@user @user l'islam valide le terrorisme et ne s'y oppose pas ce que fait daesh n'est absolument pas e… @url
1,g envie de pleurer pourquoi les darons renois sont pas comme ça ? @url
0,@user je vois donc être contre l'avortement c'est être contre la liberté de la femme ? cela n'a aucun rapport… @url
1,cette gauche qui bouffe du curé à longueur de journéequi nous abreuve d'anticléricalisme depuis des décenniesvien… @url
1,mdrrrr sale arabe
0,@user tous ces gens qui refusent de céder au terrorisme intellectuel ça doit en effrayer plus d'un.
1,le 28 septembre c'est la journée mondiale pour le droit à l'avortement : contre les tentatives réactionnaires de re… @url
1,et que dire du halal et du casher? sur le halal le gauchiste garde le silence en parlant de communauté opprimée… @url
1,@user @user @user @user lorsqu'ils vont te traîter de sale arabe qui fait du désordre en f… @url
1,@user @user att. un mongol @url
1,gros attardé @url
1,@user @user @user eh (nn mais la ct pas le mongol )
0,les renois et leurs flow c'est tellement une douceur pour les yeux :))
0,macron annonce la création d'un musée-mémorial pour les victimes du terrorisme @url via… @url
0,êtes vous pour ou contre l'avortement ?
0,@user @user les rothschild sont dans la grande finance et rothschild = juif dans l'inconscient collecti… @url
1,'' eux ils ont jamais froid ils ont peur des noirs et des arabes mais ils ont pas peur du froid '' aller hop il refait matinée
1,« les partisans » la romance d'une dérive gauchiste | @url @url
1,les #migrants traversent la mer et trouvent les aides sociales…
0,rt @user @user @user zohra madame est une islamo gauchiste ils ne rigolent que des blancs asservis et des dhimmis
1,jme met en privé il casse les pieds le gros mongol qui cite
1,@user @user @user @user « tu doit une mongol » oui oui mon cœur.
1,#tpmp les vegans sons des attardé qui font de la manipulation ses une forme de secte
1,le jour ou m'a dis si jt arabe mdr jspr que ça ne se reproduira plus mm si les rebeus waw mais n'abusons pas… @url
1,pays attardé. @url
1,bien d'accord. jamais l'intolérance gauchiste n'a été aussi violente avec la complicité des gouvernants de la gra… @url
0,@user l'ua ne sert à rien elle est financé par l'occident qui lui dicte sa conduite la crise des migrants l'ua… @url
1,j'aime trop acheter un kebab et que tous les darons rebeus lâchent un starfoullah quand je débarque
1,dans l'extrait y'a lacrim il cri comme un mongol crois il le flow de 69 ptn @url
0,@user @user si tu considère que c'est la nature je pense que tu es contre l'avortement bien entendu ?
1,la gauche pro islam antisémite n'aura jamais la dignité de respecter les morts!
1,trump réduit encore l'accueil de réfugiés aux États-unis @url #cegepgimheu
1,@user il se demande s'il bien fait de se mettre avec une mante qui fait du chant mongol.
1,meilleure amie sort avec un enfant attarde qui aime la neige... @url
1,@user @user y'a bcp de renois quand mm parmi ces folles
1,quand aux évêques qui bataillent contre la pma pourquoi l'avortement ou la contraception provoqueraient un gé… @url
0,@user tu sauras que ca s'appelle la chaine alimentaire apprend ca l'ecole
0,@user comme d'habitude !! pauvre petit bonhomme !!! il n'y pas d'élections en afrique ?? vous se… @url
0,@user @user @user plein d'animaux seront en voie d...extinction donc dit merci qui merci mussoli et aux fermier
1,mdrrrrr une meuf côté de moi elle est grave raciste elle dit ouais ses potes c des renois ça m'étonne pas q… @url
1,les complotiste c une espèce d'humain comprenant pleins de sous espèces ya les chemtrail les anti-vax les illumi… @url
0,quand des experts arabes éclairent l'islam du xxème siècle > dirigé par #arabiesaoudite + épuration la mecque nou… @url
1,les présidents azerbaïdjanais et mongol se rencontrent à bakou @url @url
1,le #terrorisme ne vient pas d'une religion. @user
1,petit cochon capitaliste pro dictatures islamo nazies maçon complotiste pervers et anti peuple celto romano francs… @url
1,@user mdrrrrrr sale arabe
1,j'devais commencer à 8h15 mais j'suis encore le tram ça fout la haine psq c'est toujours les renois dans mon am… @url
1,y'a des gens je les aime bien puis après j'apprends qu'ils sont homophobes contre l'avortement et racistes très bien
0,@user lis surtout les papiers signés par @user @user et philippe leclercq. ne t'attarde p… @url
1,@user @user dois mongol
1,plus qu'un mois avant de revoir cet attardé enfin
1,@user @user @user chacun ses goûts la beauté reste subjective. certaines renois mettent des baffes à… @url
1,@user sa fait 15 bande d'attardé
0,@user @user @user ben exactement
1,je déteste le président ces un gros enculée. il donne des emplois au réfugiés que des personnes comme moi que je ch… @url
0,@user @user @user et que dis-tu de : qualifier de violence les dégradations ou les sabotage… @url
1,@user @user @user @user @user @user avec ta bénédiction cher gauchiste #lrem … @url
1,bah jsp t'aime bien les renois ? — bah oui.... communautarisme @url
1,@user mdrrr bah putain je suis un vrai mongol
1,@user alors espece d'abruti profond l'etre humain est au sommet de la chaine alimentaire. donc pauvre con @url
1,feuilleton bêtisier (3)cohn bendit parlant de jlm un complotiste anti macronien normal vu sa formation trotzkiste… @url
1,@user @user @user @user @user va te faire soigner l'attardé.
1,@user @user @user @user non mais c'était un sarcasme mongol... t'es vraiment pas fini
