text,labels,target,source,dataset,nb_annotators,tweet_id
Les musulmans sont tous des terroristes.,1,islam,NGO,CONAN,1,
Les terroristes sont musulmans.,1,islam,NGO,CONAN,1,
"(en réagissant à une attaque terroriste:) encore un bouddhiste, et ils veulent nous faire croire que l'islam est une religion de paix et de tolérance.",1,islam,NGO,CONAN,1,
"Quand il y a un crime, musulmans sont à blâmer.",1,islam,NGO,CONAN,1,
"Le bouddhisme est la religion de la paix et de la tolérance, pas l'islam comme ils ont des terroristes.",1,islam,NGO,CONAN,1,
"Les femmes musulmanes se renferment avec leur voile, c'est normal qu'on les discrimine.",1,islam,NGO,CONAN,1,
Les femmes voilées sont discriminées à cause du voile.,1,islam,NGO,CONAN,1,
Il est permis de discriminer les femmes voilées.,1,islam,NGO,CONAN,1,
"Les femmes voilées ne travaillent pas, elles sont enfermées à la maison.",1,islam,NGO,CONAN,1,
"Les femmes musulmanes ne travaillent pas, elles restent à la maison.",1,islam,NGO,CONAN,1,
"Les femmes voilées ne peuvent pas travailler, elles sont prisonnières chez elles.",1,islam,NGO,CONAN,1,
Les femmes musulmanes sont gardées à la maison.,1,islam,NGO,CONAN,1,
Les femmes musulmanes n'ont aucun droit.,1,islam,NGO,CONAN,1,
L'islam déteste les femmes.,1,islam,NGO,CONAN,1,
L'islam n'est pas juste envers les femmes.,1,islam,NGO,CONAN,1,
Les femmes sont malheureuses dans l'islam.,1,islam,NGO,CONAN,1,
 Alors julie t'ai dégeulasse de sortir avec une gadji bande de salopes,0,,role_playing_game,cyberado,2,
 allo mme est homophobe,0,,role_playing_game,cyberado,2,
 mais tu veut quoi toi retourne avec ta gadji et assume au passant que vous étent lesbiennes sa dégouteeee,1,,role_playing_game,cyberado,2,
" on est pas ensemble déjà puis même si c'était le cas,  ça ne te regarde pas et je vois pas en quoi ça te concerne",0,,role_playing_game,cyberado,2,
 mais grave bande de lesbiennes vous degoutée aaaaah,1,,role_playing_game,cyberado,2,
 mais olalala frr assume t'aime les ch*ttes mais tu dégoute meme anna elle le dit ,1,,role_playing_game,cyberado,2,
 laissé la tranquille elle n'est pas avec elle elle vous a dit ,0,,role_playing_game,cyberado,2,
 mais assumer vous degouter bande de crasseuse,0,,role_playing_game,cyberado,2,
 mais ya eu des photos pk elle mito ,0,,role_playing_game,cyberado,2,
 grave on a tous vu,0,,role_playing_game,cyberado,2,
 grosse crasseuse ,0,,role_playing_game,cyberado,2,
 grave abuser vous me degoutez,0,,role_playing_game,cyberado,2,
 putain mais laissez nous tranquille jvous dis qu'on est pas ensemble point,0,,role_playing_game,cyberado,2,
 mais assume grosse pute,0,,role_playing_game,cyberado,2,
 wshhh elodie dit leur on a vu leur sal photo ,0,,role_playing_game,cyberado,2,
" tu m'étonnes que vous l'avez vue,  c'est vous qu'il l'avez prises connasses",0,,role_playing_game,cyberado,2,
 ftg grosse salope,0,,role_playing_game,cyberado,2,
 tu sais dire d'autres choses à part ça ?,0,,role_playing_game,cyberado,2,
 anna bebe t ou,0,,role_playing_game,cyberado,2,
 questuveux toi ferme la ,0,,role_playing_game,cyberado,2,
 ça se fait pas en plus de prendre en photos ,0,,role_playing_game,cyberado,2,
 mais cest des gouines ,1,,role_playing_game,cyberado,2,
 et toi tu sais que la vie c'est homme femme pas femme femme salope,1,,role_playing_game,cyberado,2,
" on est pas gouines,  je lui tenais la main pour la réconforter y a quoi ? laissez-nous vivre",0,,role_playing_game,cyberado,2,
 assume c pas compliquer,0,,role_playing_game,cyberado,2,
 bande de gouines,1,,role_playing_game,cyberado,2,
 la réconforter et lka galoche après,0,,role_playing_game,cyberado,2,
 bande de crasseuse,0,,role_playing_game,cyberado,2,
 taimes lesfilles,0,,role_playing_game,cyberado,2,
" y'a rien à assumer,  puisqu'y a r",0,,role_playing_game,cyberado,2,
 burk sa me degoute,0,,role_playing_game,cyberado,2,
 mellez-vous de votre cul,0,,role_playing_game,cyberado,2,
 assume que t'aime les filles c tout connasse,1,,role_playing_game,cyberado,2,
 elle etait juste en train de la rassurer cest rien ,0,,role_playing_game,cyberado,2,
 cul de crasseuse,0,,role_playing_game,cyberado,2,
 on fait ce qu'on veut grosse chienne,0,,role_playing_game,cyberado,2,
 tg saloppe,0,,role_playing_game,cyberado,2,
 maria tg,0,,role_playing_game,cyberado,2,
 grosse pute va,0,,role_playing_game,cyberado,2,
 saloperie,0,,role_playing_game,cyberado,2,
 on dit que la vérité grosse pute,0,,role_playing_game,cyberado,2,
 chienne que tes ont aimes pas les lesbienne ici,1,,role_playing_game,cyberado,2,
 bref venais on les vire de la classe c'est grosse crasseuse ,0,,role_playing_game,cyberado,2,
 qui les supp du groupe la,0,,role_playing_game,cyberado,2,
 je vais les supprimer,0,,role_playing_game,cyberado,2,
 on veut pas de sa ici,1,,role_playing_game,cyberado,2,
 grave pas de crasseuse,0,,role_playing_game,cyberado,2,
 enfiiin,0,,role_playing_game,cyberado,2,
 me degoute,0,,role_playing_game,cyberado,2,
 burk bande de chienne,0,,role_playing_game,cyberado,2,
 c'est bon chacun fait ce qu'il veut aucune d'entre vous n'aimerait faire faire insulter alors pourquoi vous continuer,0,,role_playing_game,cyberado,2,
 ça se voit vous êtes pas des potes si ça vous est jamais de réconforter votre pote,0,,role_playing_game,cyberado,2,
 on sen blkkkkk mais fort,0,,role_playing_game,cyberado,2,
 mais ftg,0,,role_playing_game,cyberado,2,
 bah alors tais-toi et laisse-nous vivre,0,,role_playing_game,cyberado,2,
 assume que t gouine c tout grosse pute va,1,,role_playing_game,cyberado,2,
 faut assumer frr,0,,role_playing_game,cyberado,2,
 mais c'est pas notre pote  deja,0,,role_playing_game,cyberado,2,
 lvdm assume saliope,0,,role_playing_game,cyberado,2,
 c'est quoi le rapport entre être gouine et être une pute ?,0,,role_playing_game,cyberado,2,
 salope,0,,role_playing_game,cyberado,2,
 pute et gouine cla meme,1,,role_playing_game,cyberado,2,
 ça te dérange si c'était le cas ?,0,,role_playing_game,cyberado,2,
 ftg,0,,role_playing_game,cyberado,2,
 oui les garcons avec les filles pas filleet fille c degeulasse,1,,role_playing_game,cyberado,2,
 grave vous me degouter,1,,role_playing_game,cyberado,2,
 t'as un problème va te faire soigner sale homophobe,0,,role_playing_game,cyberado,2,
 exactement stv on te fait un cour crasseuse,0,,role_playing_game,cyberado,2,
 c toi ta un problème grosse pute,0,,role_playing_game,cyberado,2,
 mais calmez-vous chaqu'un s'est préférence,0,,role_playing_game,cyberado,2,
 ftg c toi la gouine tu parle avec nous sombre pute wallah t ki,1,,role_playing_game,cyberado,2,
 on va dire a un gadjo de la violer sa va lui remettre les idée en place,0,,role_playing_game,cyberado,2,
 graaave,0,,role_playing_game,cyberado,2,
 mais grave wlh,0,,role_playing_game,cyberado,2,
 elles vont voir ce que c de ce faire peter le q,0,,role_playing_game,cyberado,2,
 bande de pute va mais grave elle vont voir,0,,role_playing_game,cyberado,2,
 mais t'es une grande malade toi,0,,role_playing_game,cyberado,2,
 un zizi pas de chatte ,0,,role_playing_game,cyberado,2,
 t'as des problèmes pour dire des choses pareil,0,,role_playing_game,cyberado,2,
 :') :') :') :') :') :') ,0,,role_playing_game,cyberado,2,
 tu te rends compte de ce que tu dis là ??,0,,role_playing_game,cyberado,2,
 je rigole roh,0,,role_playing_game,cyberado,2,
 ftg tu vas kiffer,0,,role_playing_game,cyberado,2,
 un peu d'humour,0,,role_playing_game,cyberado,2,
 ptdrrr grvvv et arthur ta channgé jte croyais pas comme sa quoi toiausssi tai pd,1,,role_playing_game,cyberado,2,
" mais arréter c'est exessif la vous aimeriez etre a sa place et qu'on vous dises la meme chose ?! Non,  parce que personne ne mérite ca ",0,,role_playing_game,cyberado,2,
 ouais arthur xsh t sah,0,,role_playing_game,cyberado,2,
 mais grave putain c chaud,0,,role_playing_game,cyberado,2,
" allo le viol c'est pas une blague grosse bouffonne,  va falloir avoir des valeurs un peu là un minimum",0,,role_playing_game,cyberado,2,
 laissé la tranquille elle a le droit d'aimer qui elle veut ,0,,role_playing_game,cyberado,2,
 c une blague les gens qui retournent leur veste la tous des hypocrites la,0,,role_playing_game,cyberado,2,
 mais grave que des traitres,0,,role_playing_game,cyberado,2,
 on est pas de fucking monde,0,,role_playing_game,cyberado,2,
" si vous ne disiez pas n'importe quoi aussi,  les gens seraient peut-êtr eun peu avec vous",0,,role_playing_game,cyberado,2,
 ptddddrrrrrrr mais la blague,0,,role_playing_game,cyberado,2,
 rien a foutre PAS DE GOUINE ICI,1,,role_playing_game,cyberado,2,
 bande de crasseux meme arthur on va te degager de la classe ,0,,role_playing_game,cyberado,2,
" mais vous allez trop loin,  vous dites n'importes quoi alors vous méritez les deux connasses",0,,role_playing_game,cyberado,2,
 on va pas de sa iciiiii merde,1,,role_playing_game,cyberado,2,
 STOP LESBIENNES !!!!,1,,role_playing_game,cyberado,2,
 DEHORSSSSS,1,,role_playing_game,cyberado,2,
 tchaoooooo,0,,role_playing_game,cyberado,2,
 allez-y dégagez nous vous allez faire quoi ?,0,,role_playing_game,cyberado,2,
 stop reviens bb,0,,role_playing_game,cyberado,2,
 c'est les homophobes qu'on dégage pas nous,0,,role_playing_game,cyberado,2,
 GRAVE jsuis daccord,0,,role_playing_game,cyberado,2,
 mec quand tu sautes tu provoques un séisme sur toute la terre,0,,role_playing_game,cyberado,2,
 yanis t'es bourré?,0,,role_playing_game,cyberado,2,
 brice tu es mechant,0,,role_playing_game,cyberado,2,
" Jim: fais gaffe à ton cul alors,  je pourrais peut etre sauter sur toi..",0,,role_playing_game,cyberado,2,
 brice t'es vraiment très gros,0,,role_playing_game,cyberado,2,
 ...,0,,role_playing_game,cyberado,2,
 okok,0,,role_playing_game,cyberado,2,
 frapper vous dans vrai vie au lieu d'être derriere un écran,0,,role_playing_game,cyberado,2,
 david calme toi ,0,,role_playing_game,cyberado,2,
 ferme la Brice,0,,role_playing_game,cyberado,2,
 vous voulez que jje me jette d'un pont,0,,role_playing_game,cyberado,2,
 ouais javoue yanis a raison ,0,,role_playing_game,cyberado,2,
 tg jules,0,,role_playing_game,cyberado,2,
 jules ftg,0,,role_playing_game,cyberado,2,
 ok pour le pont,0,,role_playing_game,cyberado,2,
 vazy jette toi connard,0,,role_playing_game,cyberado,2,
 nan nan tinquiète brice pas de prob,0,,role_playing_game,cyberado,2,
 je vous mange tous,0,,role_playing_game,cyberado,2,
 brice jette toi ,0,,role_playing_game,cyberado,2,
 Brice bien jouer pour ton role lorsque tu as fait la boule dans indiana jones,0,,role_playing_game,cyberado,2,
 nan c'est fort boyard ,0,,role_playing_game,cyberado,2,
 oe on sais que tu mange beacoup,0,,role_playing_game,cyberado,2,
 vous ete pas genti.,0,,role_playing_game,cyberado,2,
 qui pour un kebab ?,0,,role_playing_game,cyberado,2,
" il manque un ""l""",0,,role_playing_game,cyberado,2,
 toi aussi gros porc,0,,role_playing_game,cyberado,2,
 Amine: il te manque une claque dans la gueule,0,,role_playing_game,cyberado,2,
 arrete si brice mange plus il vas exploser,1,,role_playing_game,cyberado,2,
 brice eeeooooo,0,,role_playing_game,cyberado,2,
 nouvelle bombe atomique,1,,role_playing_game,cyberado,2,
 ya pas de s à vas amine ,0,,role_playing_game,cyberado,2,
 au pire on mange Brice y'a de quoi manger pour trois jour,0,,role_playing_game,cyberado,2,
 pas du tout on nourrit toute l afrique pendant 3 ans,0,,role_playing_game,cyberado,2,
 tbrice tu es une merde,0,,role_playing_game,cyberado,2,
 une sacree merde ,0,,role_playing_game,cyberado,2,
 bon aller les gars jme taille vous foutez la honte ,0,,role_playing_game,cyberado,2,
" faite les malins,  je vais faire de la muscu",0,,role_playing_game,cyberado,2,
 connard ,0,,role_playing_game,cyberado,2,
 fdp,0,,role_playing_game,cyberado,2,
 bon enlevez cette photo,0,,role_playing_game,cyberado,2,
 sinon,0,,role_playing_game,cyberado,2,
 nike ta mere connard,0,,role_playing_game,cyberado,2,
 commence par te lever,0,,role_playing_game,cyberado,2,
 je vais la mettre sur* insta ta photop,0,,role_playing_game,cyberado,2,
 je vous aimes les gars p'tin,0,,role_playing_game,cyberado,2,
 hy,0,,role_playing_game,cyberado,2,
 👋,0,,role_playing_game,cyberado,2,
 Salut,0,,role_playing_game,cyberado,2,
 salut ,0,,role_playing_game,cyberado,2,
" Salut Adri,  ça va?",0,,role_playing_game,cyberado,2,
 ok on est avec toi Adrien,0,,role_playing_game,cyberado,2,
 pq vous dites ça?,0,,role_playing_game,cyberado,2,
 déja toi sylvia me parle pas,0,,role_playing_game,cyberado,2,
 pq tu dis ça?,0,,role_playing_game,cyberado,2,
 t as vu ce que t as fait a la soiré sale pute,0,,role_playing_game,cyberado,2,
 euh quelle soirée?,0,,role_playing_game,cyberado,2,
 et pq tu me traites de pute?,0,,role_playing_game,cyberado,2,
 c'est clair tu abuses !,0,,role_playing_game,cyberado,2,
 calme toi adri,0,,role_playing_game,cyberado,2,
 t'as un problème ?,0,,role_playing_game,cyberado,2,
 oui c toi,0,,role_playing_game,cyberado,2,
 et toi Diana avec ta gueule de macaque de quoi tu parles?,0,,role_playing_game,cyberado,2,
 commence pas a parler d elle comme ca,0,,role_playing_game,cyberado,2,
 C pas de sa faute c Lucas,0,,role_playing_game,cyberado,2,
 c'est quoi ton fucking pblm,0,,role_playing_game,cyberado,2,
 Tu t'es jamais vu au miroir? avant de parler,0,,role_playing_game,cyberado,2,
 merci Soan,0,,role_playing_game,cyberado,2,
 *dans le miroir,0,,role_playing_game,cyberado,2,
 achète un bescherelle,0,,role_playing_game,cyberado,2,
  Les gars faut pas en faire toute une histoire calmez vous,0,,role_playing_game,cyberado,2,
 de quoi on parle merde?,0,,role_playing_game,cyberado,2,
 je suis espagnol pardon de ne pas tout savoir connasse ,0,,role_playing_game,cyberado,2,
 de où je suis une connasse?,0,,role_playing_game,cyberado,2,
 tu as embrasser Lucas alors que sophia est ta pote ! ,0,,role_playing_game,cyberado,2,
 tu as foutu la merde dans leurs couple ,0,,role_playing_game,cyberado,2,
 c'est dégeulasse,0,,role_playing_game,cyberado,2,
 bravo. je te complimente,0,,role_playing_game,cyberado,2,
 c'est Lucas qui a mis sa langue dans ma bouche donc déjà tu redescends,0,,role_playing_game,cyberado,2,
 sylvia t vraiment la pire des grosses salope tu savait qu il été en couple est tu la embrassé ta aucun *e race ,1,,role_playing_game,cyberado,2,
 en plus tu dis que c'est sa faute,0,,role_playing_game,cyberado,2,
 j'y peux rien si elle est pas foutue de tenir son mec,0,,role_playing_game,cyberado,2,
 vas crevé en enfer ,0,,role_playing_game,cyberado,2,
 Avec ta mère Adrien,0,,role_playing_game,cyberado,2,
 En plus d'etre une  aguicheusse de merde tu es une menteuse ,0,,role_playing_game,cyberado,2,
 sa faute*,0,,role_playing_game,cyberado,2,
 Arreter laisser la tranquille elle a rien fait,0,,role_playing_game,cyberado,2,
 Puis ça arrive,0,,role_playing_game,cyberado,2,
 San tas rien fait et ne fait rien mnt,0,,role_playing_game,cyberado,2,
 toi ta mere c satan ,0,,role_playing_game,cyberado,2,
 Il a mis sa langue dans ma bouche j'ai rien fait pour la retirer mais faut te calmùer avec les insultes ,0,,role_playing_game,cyberado,2,
 soan,0,,role_playing_game,cyberado,2,
 c'est pas cool,0,,role_playing_game,cyberado,2,
 non sa arrive pas elle ne peux pas se trouver un mec sans foutre le couple des autres en l'air !,0,,role_playing_game,cyberado,2,
 t'es sérieuse? en plus tu continue,0,,role_playing_game,cyberado,2,
 Si elle est mauvaise au pieu c'est pas de ma faute,0,,role_playing_game,cyberado,2,
 arrete de mentir ,0,,role_playing_game,cyberado,2,
 Elle a pas réfléchit puis Lucas à sa part de responsabilité,0,,role_playing_game,cyberado,2,
 merci Herbert,0,,role_playing_game,cyberado,2,
 tu pouvais juste ne pas l'embrasser c'est ta faute boulette ,0,,role_playing_game,cyberado,2,
 vaut mieux être un boulette baisable qu'un bâton frigide,0,,role_playing_game,cyberado,2,
 plus rien à dire?,0,,role_playing_game,cyberado,2,
" oula,  t'attaques? ",0,,role_playing_game,cyberado,2,
 il voulait pas LUI!,0,,role_playing_game,cyberado,2,
 e a de queue un trans travelo ,0,,role_playing_game,cyberado,2,
 en fcs ça donne quoi Einstein?,0,,role_playing_game,cyberado,2,
 Oh calmez-vous on est quand même pote tout de même,0,,role_playing_game,cyberado,2,
 je le pensais mais bon,0,,role_playing_game,cyberado,2,
 je suis pas potes avec des aguicheuse pareil ! je voudrait pas qu'on me pennes attentionner mon copain,0,,role_playing_game,cyberado,2,
 tais-toi ,0,,role_playing_game,cyberado,2,
 apprend a lire avant de me parler,0,,role_playing_game,cyberado,2,
 attentionnellement*,0,,role_playing_game,cyberado,2,
 je pique les mecs moi apparement,0,,role_playing_game,cyberado,2,
 j'ai pas besoin de savoir lire,0,,role_playing_game,cyberado,2,
 ouais ,0,,role_playing_game,cyberado,2,
 ohhh ca part bien ,0,,role_playing_game,cyberado,2,
 parceque t une pute qui les chauffe et qui les paie ,0,,role_playing_game,cyberado,2,
 t'es une pute qui n'arrive pas a trouver de mec ,0,,role_playing_game,cyberado,2,
 c'est ton père qui les paie,0,,role_playing_game,cyberado,2,
 et apres tu leur donne des MST,0,,role_playing_game,cyberado,2,
 si tu veux être une pute personne t'oblige a lire,0,,role_playing_game,cyberado,2,
 personne oblige ta soeur à savoir lire non plus,0,,role_playing_game,cyberado,2,
 le mien il a de l argent au moins ,0,,role_playing_game,cyberado,2,
 et il apie,0,,role_playing_game,cyberado,2,
 paie,0,,role_playing_game,cyberado,2,
 il m envoie pas au bar a pute comme toi,0,,role_playing_game,cyberado,2,
