i,tweet_id,full_text
433,941772019095539712,Le partiel d'anglais sur l'affaire Weinstein et les mouvements #metoo et #balancetonporc ça m'a trop inspiré
434,941775266241581056,Quand #balancetonporc fait dérailler le procès Tron https://t.co/etAQrcf4OB via @Le_Figaro
435,941775416544591873,"Le procès de Georges #Tron renvoyé à une date ultérieure 

#BalanceTonPorc
 https://t.co/ExT8LzOmsf"
436,940023876523872257,
437,940195183408353280,
438,953940522976137217,"https://t.co/THZzwRrERj
après #zemour et #morano encore un soutien de poid pour la tribune de #CatherineDeneuve 😂 meme si ça existe aussi ..."
439,953942479107215360,Hallucinant....Catherine Deneuve est une DES SIGNATAIRES mais pour certains c’est LA tribune DE Catherine Deneuve...malhonnêteté ou paresse intellectuelle ? #fatigue https://t.co/J7aTh6zJfB
440,953933226720026625,
441,941769172589137920,
442,941768262249050112,"La #justice va devoir se pencher sur les raisons qui ont conduit au renvoi du procès de #Tron.

#BalanceTonPorc prend le pas sur le Droit ?

https://t.co/6mnkSdA101"
443,941767643429851136,Quand #balancetonporc fait dérailler le procès Tron https://t.co/6A7YQ3prxs via @Le_Figaro
444,941768191549870080,
445,957936420991242240,"Affaire #Darmanin grosse magouille politique plainte relancée sur instigation de #carolinedehaas avec en plus sa spécialité, une pétition ""spontanée"" bref le bâton de merde habituel de l'auto proclamée première féministe du pays aux indignations sélectives."
446,957890800196751362,"Le 8/2/18 à 19h30 : soirée-débat « Inégalités d’aujourd’hui : des sources différentes, un même combat! » organisée par le @CollRoosevelt à Belleville : présentation du @QSJInegalites aux @editions_PUF ,  discussion avec @pas_sansnous, @apfhandicap et le réseau féministe Ruptures https://t.co/O5zsij1Ccw"
447,957844299076521984,
448,957932943137271808,https://t.co/bwWG5LBgHg Un « appel de 1 000 jeunes filles » contre les 100. Merci pour cette tribune #féministe ! #MeToo
449,957904098640187393,"Avec ce guide, visitez Paris en mode féministe https://t.co/dFRiRHJO5p https://t.co/FfuvsrHkjA"
450,957893393706881025,"#MeToo, réseaux sociaux, convergence féministe et antiraciste : discussion à Montréal avec @ChTaubira https://t.co/qgSGQu9Y13 https://t.co/rlM2rXWu80"
451,955235191328530438,
452,955248710061092864,
453,955243970237489157,"Juste: ""Tais-toi!""! Et merci de ne plus tweeter sur ce que tu ne comprends pas! Tu te rappelle comme tu as boudé comme un gamin quand #VincentDelerme t'as ignoré pendant ta chronique? Alors évite de donner des leçons!

#guillon #BalanceTonPorc https://t.co/7eJ1JEmo6J"
454,947195687652950016,Le mot-clic #MeeToo #MoiAussi a été repris plus de trois millions de fois sur Twitter https://t.co/euIG0wxOhf
455,939211729434800128,
456,939200088894791680,#Quotidien Jean-Luc Mélenchon #balancetonporc
457,953949866211897344,Ce photographe inverse les rôles pour dénoncer les publicités sexistes ! 🚹🚺 On ne peut qu'adorer 👏🏼 #sexisme https://t.co/61ptvYeKWP
458,953941430610944001,"Le #sexisme des publicités du siècle dernier dénoncé par @Elirezkallah qui inverse les rôles.
#EgaliteFH 
https://t.co/O4PdJQgEH8"
459,953927956010881025,
460,953916841319124992,"ATTN s’amuse à inverser les rôles entre femmes et hommes dans le monde du #sport pour dénoncer les #sexisme ordinaire dans ce milieu.
Découvrez l'article et la #vidéo.
Bien à vélo
https://t.co/Li5wdJzue6"
461,953888478118506496,"En inversant les rôles, cette #vidéo tacle le #sexisme dans le monde du #sport - https://t.co/5CqMb9JuWx"
462,954067219440381953,"Sandra Muller, à l'origine de #balancetonporc, poursuivie pour diffamation https://t.co/LthDRVjjza via @20minutes"
463,954065753543716864,Sandra Muller qui a inventé #balancetonporc est poursuivie en diffamation - via @Le_Parisien https://t.co/5MpHxrnz08
464,954063982268112896,"@publicsenat @fitouss un vrai régal ces images .ça me redonne de la joie de vivre après #BalanceTonPorc  , notre dame des landes ,les zadistes ,les suffisances insuffisantes de nos rentiers de la politique etc.."
465,954066269103378433,"Une chanson écrite et un clip tourné bien avant #BalanceTonPorc vient de sortir aujourd'hui. #JeunesseSombreEtDorée
https://t.co/95d8L9wntW"
466,954064437983547392,"Épinglé pour sa Une sur #BalanceTonPorc, Marianne se défend https://t.co/2av9l91ZPs"
467,938431718356389889,Personnalité de l'année du Time: celles qui ont «brisé le silence» #MeToo #MoiAussi https://t.co/FZzdQieG0S via @lp_lapresse
468,938457354164719616,"C’est l’anniversaire de la Tuerie de l’École polytechnique de Montréal. Aujourd’hui Time Magazine a choisi les femmes de #metoo (#moiaussi) comme personnalité de l’année . On vous voit. Et on vous croit. 
#6décembre #December6"
469,938437330762903552,
470,938441982979997696,Mon dernier article sur le blog @LesMaters souligne l'importance de parler. Après les témoignages sous les hashtags #moiaussi #metoo il est plus que jamais primordial de parler et d'écouter les plus jeunes pour éviter certains drames. https://t.co/KKiggYPP2B
471,938453165489475584,"#moiaussi fait des petits : augmentation de nouvelles plaintes et révision de dossiers rejetés 
@MarcAllard1 @lesoleil #harcelement 
https://t.co/OB2gqbMcM8@"
472,938435684892889091,"Marc Cassivi Détourner le regard. 
@MarcCassivi pourriez-vous clarifier votre position sur #RomanPolansky Merci.
#MoiAussi #MeToo  https://t.co/Hz0M7KC7ZA"
473,938439488367480833,"Personnalités de l'année : The Silence Breakers. #MoiAussi 
https://t.co/OxKKiKrFJX"
474,953306725423239168,"Après-demain à Colmar et non demain, on parlera et échangera sur le #sexisme dans le #sport ! https://t.co/sCycDoFKsM"
475,953241512581763074,"Clichés #sexistes dans la #pub : Des grandes marques s’engagent dès à présent dans le programme FAIRe. 
LIRE l'article =
#Sexisme 

https://t.co/7iIwTadJqh https://t.co/nQ0MpqQwUV"
476,953258141889843200,"Dans un atelier d’artiste parisien, 25 femmes issues de tous les milieux sociaux et professionnels sont réunies pour une formation contre le #racisme et le #sexisme. Reportage et belles rencontres de @WardaMD https://t.co/YlhuuV2uCC via @TERRIENNESTV5"
477,953285596822286336,#viedebureau Comment combattre nos propres réflexes sexistes au travail ? https://t.co/j65F85CufE by @juliefalcoz vía @MadameFigaro #sexisme #egalitefh #stereotypes
478,942491846739193856,Les joueurs du Depor ce soir vont tweeter du #MeToo du #BalanceTonPorc #BARDEP
479,942487158480343042,"@alexvizorek @BrunoMasure C’est dommage que Tex n’aie pas suivi l’actualité #BalanceTonPorc ,ça lui aurait évité de dire des conneries qui ont les conséquences qu’on voit"
480,955632658192592896,
481,955636867113914370,"Pas de cadeau pour le sexisme, pas de sexisme en cadeau ! https://t.co/LJ5zXcpRsK"
482,955602146816339968,"arrêtez de limiter Jésus, il est là pour tout le monde.. y a ps de racisme chez lui, ni de sexisme.. on est tous égaux à ses yeux!!!"
483,955629155298824193,
484,955654336062873600,
485,956395311722790913,"Dans quelques minutes, lancement de la première journée nationale de rencontres sur le #sexisme... En direct sur #EnsembleContreLeSexisme #25janvier"
486,956421379783454721,
487,956300033065979904,
488,956297208730718210,"CETTE #CHERCHEUSE DÉNONCE LE #SEXISME DANS LE MONDE SCIENTIFIQUE #Inserm #Cnrs
https://t.co/8m9IkpLot9"
489,956422256212828160,Le collectif #EnsembleContreLeSexisme vous donne RDV ce matin 9h pr la 1re journée nationale de rencontres contre le #sexisme ! Marrainé par @MarleneSchiappa un événement à suivre en live tweet tte la journée #25janvier #TFTC #EgaliteFH
490,965265950789505024,
491,965387115289874432,
492,965475449378955264,
493,965422622979829760,
494,955410740856451072,Harcèlement : l'initiatrice du mouvement #Balancetonporc attaquée pour diffamation https://t.co/wfAdtl0YYu via @europe1
495,955419746480115712,#BalanceTonPorc #TaMainSurMonCulMaMainDansTaGueule Coup de gueule de Natalie Portman sur la violence assumée de nombreux hommes et sur la nécessité de penser autrement la culture dominante de la sexualité. https://t.co/P7DSxy7pVK
496,955419036392804352,@ChThimonier Oh ta gueule commence par répondre aux questions des français à savoir que faites vous avec l’argent de nos impôts la bas #BalanceTonPorc #Ingérence
497,939763231307988992,Affaire Buttet. Votre avis nous intéresse. https://t.co/FLOjqAsnde #buttet #harcelement #balancetonporc #valais #politique #suisse #MoiAussi #MeToo #balancetatruie
498,939653657544491008,"#balancetonporc Un dessin doublement de circonstance de l'excellent Voutch. Incroyable. Mais peut-on encore se permettre de l'humour sur ce sujet grave ? Pierre Desproges répondait en posant la question : ""Peut-on rire de tout ? Oui, mais pas avec n'importe qui"" https://t.co/OEXCqw7nxq"
499,955768742339850240,Quatre adolescentes poursuivent et frappent une jeune femme dans le métro https://t.co/MyroCY2nih via @20minutes
500,955768762136956928,
501,955768689965477889,"@dav_dec Oui tout à fait,dommage que aujourd’hui,il n’y a que l’argent et le sexe qui comptent 🙁les belles valeurs disparaissent,tu perd ton emploi ou encore tu a des problèmes de santé et ta femme époux te quitte …bref ...moi je continue de rêver 😊"
502,939637412266954752,
503,939600554132692993,"C'est le courage du mouvement #moiaussi le courage des femmes, et aussi de tous ceux et celles qui osent se lever contre les abus ! https://t.co/s7exBV3m1n"
504,939572929616076800,
505,957032899190120453,"Qd mn ex était en Afghanistan, jregardais svt les vidéos de militaires qui faisaient d surprises à leur femme étant en uniforme et revenant de guerre. Jm’imaginais ds ce cas, j’étais hyper chaude ... La chute  Acteur a dit « On sretrouve à châtelet » il était vivant ct déjà bien."
506,957327538380042240,
507,919463178089717760,"Pour Christine Lagarde, l’avenir monétaire est au Bitcoin et ça va arriver plus vite qu'on ne le pense  https://t.co/dnIc2LAPYG"
508,922869954256474112,"Tweet parfait à exhumer en ce jour de vote du budget et à la veille d'un RDV entre Emmanuel Macron/Christine Lagarde
https://t.co/GmALvaSnvP"
509,919162403799076865,"Pour Christine Lagarde, l'avenir monétaire est au Bitcoin https://t.co/Rn5PgypSeg https://t.co/pFTBCqhGLf"
510,926002198760353794,
511,919459906868203520,
512,929635864459825152,"Christine Lagarde est la femme la plus influente, devant Brigitte Macron et Anne Hidalgo
https://t.co/aczlzWNI3s https://t.co/2IeoodHfso"
513,922775952186159104,Environnement : Christine Lagarde appelle à l'action sur le climat https://t.co/KyuDjMExpR
514,929021355332456448,"Raquel Garrido se met en retrait de la FI, un commentaire peut-être mesdames et messieurs 
Eric Woerth, 
Pauline LeMaire, 
Richard Ferrand,
Christine Lagarde,
Jean François Takkiedine Copé,
Muriel Penicaud 
et
Dominique Strauss-Kahn, 
 ?"
515,957916869771612162,@ParisPasRose @VanityFairFR @Cdenquete Puis Dati qui accusait Fillon et sa femme un an avant les révélations ...
516,957951942466170880,
517,957944947688296449,"@Cedric_RS @FrancoisFillon FILLON s'est tué tout seul,costumes,employer  femme et enfant,chèque du sénat....c'est l'argent qui l'a tué"
518,957911126389510145,
519,957956558478069760,
520,957956490748399616,
521,957916280887152640,"@GG_RMC Oui les haines, les rivalités c'est pas terrible, s'écharper, en venir aux mains pour une bonne place, pour un héritage, pour une femme, pour un homme,... ça fait bcp de mal et c'est très regrettable d'en arriver là ! 😕#Fillon"
522,957953557826764800,
523,957947172800159744,
524,957955087527301120,
525,955679654605656064,
526,988529842915364868,
527,989221464489496578,
528,989049643718840320,
529,988735423844442112,
530,988339766549721088,
531,406128904714616832,
532,955730810656776193,
533,967801390725849088,Marlène Schiappa rappelle à ceux qui ont insulté Aurore Bergé qu'ils encourent jusqu'à 12.000 euros d'amende https://t.co/aesxpkKtdj
534,967713337785110528,"Ne nous trompons pas les gens, le problème avec @auroreberge ce n'est pas ses vêtements mais ce qu'elle incarne : l'opportunisme politique le plus abject.

#Macron #Fillon #Juppé #Sarkozy https://t.co/pfJCOB1R5I"
535,968435891940286465,"Jean-Michel Aphatie réplique à Aurore Bergé: ""Non, on ne s'habille pas comme on veut""
https://t.co/qH8v1lFYxz https://t.co/1EeTSLRlji"
536,968926295873785857,"Des élus vont dormir la nuit dehors pour alerter sur la condition des sans-abris : ""Je suis assez étonnée de la démarche. Trouver des solutions, c'est mieux. C'est assez contre-productif"", réagit Aurore Bergé, porte-parole du groupe LREM à l'Assemblée nationale #lesinformes https://t.co/xJk7zsZbDz"
537,957392875930705921,J objectif c est de salir l un membre du gouvernement la femme qui accuse Gérald Darmanin c est une vendue qui cherche a abattre un homme point ce n est pas digne de tout ceux qui sont derrière cette comédie ls opposants ne sont ps étrangers a ce film👎
538,957376371436728326,
539,957390903420903426,
540,957447699753816065,La femme qui accuse Gérald Darmanin de viol a à nouveau porté plainte https://t.co/CuhfphlW3G
541,957377204933025793,
542,957376809409986560,
543,397468880378949632,http://t.co/gFHX0RBx3n un tumblr bien drôle que vous connaissez peut être déjà! #payetashnek @EnoraMofficiel @EnoraLeSoirOff  #Enoralesoir
544,950792636335616000,Une centaine de femmes françaises dénoncent les dérives de #BalanceTonPorc et #MoiAussi https://t.co/Xz8RIuJXsS
545,950811611308142593,"Dérives féministes?

Dans une lettre ouverte, une centaine de femmes, dont l'actrice Catherine Deneuve, dénoncent ce qu'elles considèrent comme des dérives des mouvements de type #BalanceTonPorc et #MoiAussi sur les réseaux sociaux 

#Québec 

https://t.co/1ujDKt3pTE https://t.co/LJtM1VFKVS"
546,950799000268976128,
547,950821569215057920,
548,950795489934561282,"En effet, cela est fort éclairant.
« Cette présomption d’innocence est essentielle et nécessaire lorsque l’État poursuit. » Me Poupart
Elle est circonscrite. 
#MoiAussi #MeToo
#femmes #agressions https://t.co/M0SybE0fen"
549,950832584845651969,
550,936657651215273985,
551,936584798088425472,"Très beau texte de @@Simona_Crippa_ !
#moiaussi #viol #feminisme https://t.co/QXrndeHX3E"
552,936680855182938112,"Québec, en collabo avec @sureteduquebec, met en place un projet pilote pour réviser les plaintes pour aggression sexuelle qui n'ont pas abouti et accompagner les victimes ""jusqu'au bout"". Il suit le modèle instauré par @PhiladelphiaGov. 
https://t.co/Z07V1z12nd. @CAVAC_ #moiaussi"
553,936656489640538112,"Pourquoi est-ce que c’est important de lutter contre la violence faite aux femmes? Chez Oasis nous avons beaucoup d’opinions fortes! Et vous?  ♀️ = ♂️#journée7 
#16days #16jours #ilesttemps d’agir #STOPViolenceFemmes #metoo #moiaussi #MESGestesComptent https://t.co/7bLcE8Bu2q"
554,936705687467495425,
555,936732478248644608,
556,936808794960433153,rmclive #balancetonporc Ne sert a Rien!!🐷#BalanceTonAgresseur c'est Meilleur!! 😜Et Payeur....en terme de Sanction!!
557,953960168370393088,New post: Jaeger-LeCoultre rend hommage à Catherine Deneuve à Venise https://t.co/mYHGvXoFPt
558,953975455278862337,"#Metoo: Merci Catherine Deneuve, merci Catherine Millet de nous rappeler que le combat est très loin d’être gagné…https://t.co/WIx8rOTI4H #NOUVEAUPOST https://t.co/aPiuIzE2W3"
559,942080836467412992,"""Ce match, on n'a pas le droit de le perdre"" : le moral d'acier des Bleues avant leur demi-finale au Mondial de handball - L’équipe de France féminine de handball affronte la Suède vendredi en demi-finale du Mondial, qui se dispute en Allemagne. Les c... https://t.co/ywQFOVfBSF"
560,941989718052532224,
561,941946222868418560,Heureuse. Bravo les bleues pour ce beau match. 😀🤙🏻. Hâte de vous voir en finale. @FRAHandball @Hand2017 #FRASUE #handball #fieredevous
562,942016068066955264,
563,942313777181220864,"JOUR DE FINALE ! France /Norvège 17:30 @beinsports_FR ! BEIN 2 
- 14h15 match pour le Bronze
- 16h Le Film des Bleues : les portes du Paradis ( un bijou)
- 17:00 avant match avec @ameliegoudjo @ValNicolas16 @xavham #ALLLLLEEEZZ https://t.co/H8bLA60ijs"
564,941971013373394944,
565,941944727234105344,"-Les Bleues se qualifient en finale de CDM de Handball, saint-etienne club historique du championnat est en train de couler, dimanche il y a un des plus gros match du championnat on met quoi en une les mecs ?
-Neymar ?
-allez go https://t.co/ljdQ8i8whC"
566,942321961627209729,"RDV dès 14h15 @beinsports_FR 2 pour la finale des #Bleues ! #FRANOR #Handball 
Avant match, revivez l'aventure jusqu'aux ""portes du paradis"" #BleuetFier @ElenRius @kevinlapin971 @Matthias_Duchez @MaryPatrux @ValNicolas16 @ameliegoudjo @ffhandball https://t.co/eJhYV8fyRr"
567,941967076104769536,
568,942007862825570304,"""Dans une fin de match haletante, les Bleues ont fait craquer la Suède. Elles affronteront la Norvège en finale, dimanche."" Bonne chance pour la final !
#Handball #FRANOR"
569,987681131020636161,
570,987438502483779584,
571,987386795884253184,comment j'en ai trop marre dme faire prendre pour une conne
572,987709687926845441,"En fait, l'extrême droite a décidé de prouver qu'elle était largement aussi conne que l'extrême gauche qui trustait les gros titre depuis plusieurs mois, c'est ça ?
C'et un concours ?"
573,942437974247133186,
574,942429862760992768,
575,942431960592470017,
576,942431308818583552,"Hip hip hip pour les bleues 
Avec vous pour cette finale – en train de regarder match de handball"
577,942432830113673216,"le match 🇫🇷 🇳🇴continue après la victoire de @martinfkde , les bleues vont marquer l'histoire #handball #sportfeminin"
578,942434659044155392,
579,942436301294448641,
580,942430741853597696,
581,942432918361780225,.@radiometeo souhaite un bon match aux bleues de @FRAHandball et nous sommes tous avec elles 🤾‍♀️ ! #FRANOR
582,942432730750640128,Quel début de match de nos bleues. #handaction #handaction #FRANOR
583,956191535082754049,Merci @LaTribune de porter le sujet au côté du collectif #EnsembleContreleSexisme pour la première journée contre #sexisme dans lequel est très impliqué #TFTC @CometEntreprise Numéro dédié à retrouver en kiosque dès demain @LaTribune @Aziliz31  @jc_tortora @Vabrial @CatLadousse https://t.co/ueRJUf6MSq
584,956451921061187584,"""Si les femmes ne peuvent pas aller à la justice, la justice doit aller a elles. ""
@MarleneSchiappa
@Egal_FH #ensemblecontrelesexisme #sexisme https://t.co/ToTWrKIjsR"
585,956454586067423234,Journée de mobilisation contre le #sexisme : #ActionLogement 100% engagé. Retrouvez notre guide :  https://t.co/W8BDKPvo6n et la vidéo @ETLMSF : https://t.co/Hpz30lyePn #EnsembleContreleSexisme
586,956452175533760512,
587,956520448908517383,"@BrigitteGresy Ces petits gestes, propos sexistes qui peuvent paraître anodins ont pour conséquences  d'inférioriser les femmes Et des conséquences graves sur leur santé physique et psychique #25janvier #Ensemblecontrelesexisme"
588,956449778505846784,« La diversité des acteurs est réunie. La lutte contre le sexisme est une lutte transversale ». Intervention de @MarleneSchiappa à la journée #EnsembleContreLeSexisme https://t.co/gWQXd8EdAA
589,956450196300451840,"@MarleneSchiappa ouvre cette journée placée sous le signe de l’#EgalitéFH ! ""Nous devons marteler que le féminisme est inclusif et concerne tous les genres, les âges et les générations sans restriction."" #EnsembleContreLeSexisme #25janvier https://t.co/xZNMgJZTVb"
590,956512003899629569,"[#EgalitéPro] Au travail, 80% des femmes sont régulièrement confrontées à des attitudes ou des décisions sexistes. #EnsembleContreLeSexisme https://t.co/F4l8QUKmYC"
591,956552175072808960,"Expression québécoise pour Plafond de verre ... plancher collant ! 😀 j’aime beaucoup 
#EnsembleContreLeSexisme"
592,956433664363114496,Rendez-vous dès 9h pour la journée #EnsembleContreLeSexisme en présence de @MarleneSchiappa et de @laurossignol. #sexisme https://t.co/kyMWeb2G2b
593,955726820938276864,
594,955738168929804288,Pierre Arditi prend la défense de Catherine Deneuve en citant Molière (mais se trompe de pièce) https://t.co/CnPpIq72tI
595,955735077052444672,
596,955758509349421056,
597,955729907220434945,
598,955752690935631873,
599,955760974736379904,
600,955744247105368064,Harcèlement sexuel : le texte de Maïwenn répondant à la tribune signée par Catherine Deneuve https://t.co/YvIhpHcAj5 via
601,945795276752728064,
602,945754451889065984,Les effets de #MoiAussi #MeToo au Québec : 25 millions de dollars débloqués contre les violences sexuelles - TV5MONDE - Informations https://t.co/qDBUudE0Ur
603,945799269453320193,
604,945756210334232577,
605,945873135131398144,
606,898159691238342656,
607,953537201408806912,"Yvette Roudy réagit à le tribune du @mondefr : ""Je ne pense pas que l’on attende de moi que j’entre en conflit avec Catherine Deneuve""
En savoir plus sur https://t.co/zMEGHD3zs7”"
608,953537324402577409,Merci Catherine Deneuve! https://t.co/YLwhIfwrIC
609,953495821504466944,Harcèlement : catherine deneuve s'exprime dans libération au sujet de la tribune du monde: https://t.co/FrHOO3kVCs qua @YouTube
610,953537730805366784,"Catherine Deneuve, loin du tumulte... Entre icônes ! https://t.co/daGHtYyedZ #people"
611,953492855120584704,«Liberté d’importuner»: Catherine Deneuve assume mais présente des excuses aux victimes https://t.co/ejczOWS9Ny #ARelire
612,953495807268925440,"Catherine deneuve : ses excuses aux victimes ""qui ont pu se sentir agressées"": https://t.co/RLsXprRkMb qua @YouTube"
613,953501404764794880,
614,955275446769344512,
615,955319116830773248,
616,955297690451136512,Modeste proposition pour mettre fin à la misère sexuelle de @EliseThiebaut #balancetonporc https://t.co/kfFDhy7sMO
617,955266896215134210,
618,988477299245928448,"""C'est un naufrage"". Christiane Taubira a tout dit concernant Florian Philippot et ses commentaires. #Quotidien"
619,988464694460649473,"#TPMP. Ce soir reprise du direct pour quotidien Christiane Taubira Kad Merad et Charlotte Gainsbourg sont les invités de Yann Barthès , sachez que Charlotte Gainsbourg ne mettra pas les pieds dans tpmp  l'émission qui crache sur les gens et  les émissions ."
620,991688085283966976,"VIDEO - Immigration : Pour Christiane Taubira, accueillir «24 000 personnes, ça n’est pas toute la misère du monde » #"
621,988471774139637761,
622,991753343193231360,"Pendant ce temps, Byrone fait des recherches Wikipedia sur Christiane Taubira et la Guyane."
623,989515018512289793,
624,990984476472872962,
625,989767702150443009,
626,957377137358594048,
627,941675022694920193,#balancetonporc : le procès de Georges Tron vire au très mauvais vaudeville &gt; on vous raconte l'incident avec les tweets de @MargauxLannuzel #Tron https://t.co/3DqofbmQfH
628,941673667259486209,
629,950503689763958784,
630,950562777176748032,
631,950518161169965057,Les députées fédérales incertaines de l'avenir du mouvement #MoiAussi - La multiplication du mot-clic #MoiAussi (#MeToo) sur les réseaux sociaux a encouragé plusieurs personnes à travers le monde à partager leur histoire d'agression et de harcèlement ... https://t.co/12Ot05ljQv
632,943403407712206848,
633,949184473635180544,Bleues - La FRANCE face au NIGERIA en avril prochain Le Président de la Fédération Nigeriane Amaju Pinnick a révélé que l'équipe nigeriane des Super Falcons disputera une rencontre amicale face aux Bleues. Ce match face à la France des championnes... https://t.co/abmn86SiZV https://t.co/ovAJqpA0e0
634,948896099175161856,
635,947021397829832704,"Jour de Match aujourd'hui pour nos bleues
📍Rennes
🕓16h
✅ Saint Grégoire Rennes Métropole
🤾‍♂️9ème journée du championnat D2
https://t.co/To336w7yZJ"
636,948897041043873792,
637,948510958288293888,"#Handball : La future Panthère @alex0464 (Championne du Monde avec les Bleues) sera présentée la mi-temps du match opposant les Panthères du @FleuryLoiretHB aux Lionnes d'@IssyParisHand
Une occasion de plus de venir à 20h30 au Palais des Sports d'Orléans ! https://t.co/tjCxfNgeAY"
638,943534047938121728,"🚨 ALERTE 🚨 
🎟️La billetterie du match France 🇫🇷 - Finlande 🇫🇮 qui se déroulera le 14 février 2018 à la @BrestArena ouvrira demain à 10h00.
Soyez les premiers à acheter vos places pour supporter les Bleues. #GoFrance https://t.co/lQxzP4NvjI"
639,943380371609178112,
640,943577055224049664,"🏀 La billetterie du match France 🇫🇷 - Finlande 🇫🇮 de basket s'ouvre ce jeudi 21 décembre à 10h sur le site de Brest Arena : 
https://t.co/nDb5Sja4Ui

Soyez les premiers à acheter vos places pour supporter les #Bleues ! 👍

 #Brest @BrestFr #Finistere #bzh https://t.co/bmSMkgkvFA"
641,949298782751076354,"TQCE U17 F
les filles s'inclinent 3 sets à 1 face aux Russes dans leur premier match
18-25 25-18 22-25 12-15
les Russes sont qualifiées, les Bleues jouent un deuxième match demain face à la Finlande
#EuroVolleyU17W  @FranceOlympique @Sports_gouv https://t.co/4M1O9yg5gR"
642,938500721317679107,
643,938505234099462147,#i24NEWS @i24NEWS_FR toujours fidèle à notre mouvement. #balancetonporc #metoo . Prix collectif! Thanks à la team et à @benaym  @TIME #TimePersonOfTheYear @thatdanstewart @KateSamuelson @efelsenthal https://t.co/RTPhHcyJsD
644,938498855573839873,"Théo Hakola avait anticipé #balancetonporc c'est peut être à cela qu'on capte un artiste. Sa disquo complète est à (re)découvrir..
https://t.co/ikLqfVs7WM"
645,938507018385723393,"Sandra Muller #BalanceTonPorc est l'une des #PersonOfTheYear honorées par #Time
Ces femmes et hommes ont été des briseurs de silence dans des affaires de scandales sexuels. https://t.co/wRm7ZjBvLT"
646,938501341038641153,"#MeToo  #balancetonporc
#Polytechnique face au tabou des #violencessexuelles 
via @Mediapart https://t.co/h2fLj0F7ND"
647,957718535958089729,
