comment_text,toxic,lang
peut s'attendre à des lendemains difficiles pour le royaume-uni si jeremy islamo-gauchiste de la pir…,0,fr
t’es surtout un attardé,1,fr
oui je ne comprends pas pourquoi ceux qui veulent accueillir les migrants n'en prennent pas…,0,fr
j'essaie de bien comprendre maintenant je sais que quand dit qu'on est antisioniste il…,0,fr
quand tu lui dit que la commission est un monstre anti démocratique non élu il te traite de débile! il vi…,1,fr
ces dames arabes toujours à se plaindre,1,fr
l'état civil chez les renois c'est en option aussi.,0,fr
halim95 au lieu d' hurler comme un attardé mental ouvrez les yeux sur les parole…,1,fr
dirait un gauchiste qui chouine source ?,0,fr
j'ai jms dit le contraire sale arabe juste c'est comme si pr ton annif je te paie une ps4 avec red dead,1,fr
jvois vla les renois comment il parle des blanc sa vnr et tu lui sors c'est raciste il te dis très sereinement …,1,fr
rejetez le machisme blanc vous aurez le machisme africain.,1,fr
doudoune et ugg vraiment les renois abusent,0,fr
c est qui le mongol en face bourdin?,0,fr
demande aux politiques français de gérer des migrants. quid des dirigeants africains + occupés à s'en…,1,fr
je suis coincé à berlin entre une manifestation d’extrême droite contre l’avortement une autre de gauchistes et un…,1,fr
liebig . comme tout bon gauchiste attise le racisme anti blanc et anti français !!!!,1,fr
et évidemment pas capable de m'envoyer un lien pauvre attardé random congénital. maintenant…,1,fr
tu nous ramène une maladie de jérusalem?],1,fr
la moitié des renois ici ils ont le seum contre les arabes mais c bon jtweet sur les renois 1 fois s’attaque trop à eux,1,fr
non mais laisse le ce gros mongol il va tweeter un complot de l uefa pro catalan dans 5min,1,fr
vidéo voici comment des migrants africains vivent en c’est pire qu’en,0,fr
décidément n'importe quel attardé peut de nos jours détenir la carte professionnelle. revoyez le con…,0,fr
mathilde c est normal il bien une tète intello attardé !doux baisers,1,fr
mr simon vous ne pouvez justifier voir atténuer la violence des propos de mr zemmou…,0,fr
Être 4 renois dans une 206 musique fond vapotes à gogo et oublier les papiers de la voiture,1,fr
je suis végétarien et voici ce que rencontre avec un éleveur mongol m'a fait réaliser sur l'écologie,0,fr
de plus la majorité des migrants venant en france ne cherchent pas du tout le n…,0,fr
j'espère que pas eu un mongol qui essayé de prouver ça en sautant depuis son balcon,0,fr
y'a une meuf dans classe elle se pleins du racisme envers les arabes mais taleur elle traiter un asiatique de ching cho,1,fr
c'est un golden retriever une race créée par des blancs ces ching chong ne méritent ni nos chiens ni nos inventions.,0,fr
ce n'est pas seulement à l'avancée de l'immigration et de l'islamisation sont visibles dans nos rues…,1,fr
dc maintenant dire que ou le sont des lobby juif et sioniste sachant qu’il se revendique tel que…,0,fr
bah précise qui tu demande t'es con ou t'es attardé ?,1,fr
musée mémorial des victimes du terrorisme,0,fr
c'est france inter sur papier repère gauchiste,1,fr
je suis trop attardé sur le bonheur des gens j'ai laisser passer l'mien ...,1,fr
ce n’est pas tous les renois qui suivent son raisonnement ne l’insulte pas tu perds des hassanets pour rien,0,fr
le hashtag sonne enfin le glas de l'ideologie laxiste gauchiste qui predomine depuis des annees au se,1,fr
mdrrrr attends t'as vraiment cru qu'ils allaient pas répondre à une attardé qui dit d…,1,fr
fascinant la capacite des gauchistes tjrs rejeter la faute sur les autres. cessez dimp…,1,fr
les arabes empruntent le zéro aux indiens au ix eme siècle !!!,0,fr
mais c'est une vidéo qui tourne bande de mongol mdrr,1,fr
zemmour aphatie radicalité de l'un terrorisme intellectuel de l'autre ... une maladie: les idéologies une vic…,1,fr
sale juif musulmans je vais salé tes morts et les manger,1,fr
qui de deter aller au chinois ds la semaine la j...ai trop envie d...un noich,0,fr
laisse tomber t’es un mongol,1,fr
j'y peut rien si t'es attardé et ta pas compris,1,fr
euthanasie avortement peine de mort la société contre la vie bat son plein et le diable vous embra…,0,fr
c'est tres classique qu'apres une periode gauchiste un redressement s'effectue d'autant plus violent que la period,0,fr
c’est de la violence dont vous êtes le produit?,0,fr
bon débarras ! laisse le journal lemonde pleurer adepte de l’islamisation et de l’africanisation de notre conti…,1,fr
est-ce que ça existe des familles renois qui adopte des enfants blancs ?,1,fr
que des renois qui sont d'accord avec son tweet ...,0,fr
ya pas besoin d’avoir 2000 personne pour qu’il ait danger. un rageux gauchiste suffit.,1,fr
que mongol,1,fr
et puisqu'on est là dessus les chiffres soit disant arabes que nous utilisons ne sont p…,0,fr
materialiste et extreme gauchiste c'est pas tres compatible si ??? t'as re...,1,fr
qu'attendre d'un gauchiste moustachu la staline ? Ça!,0,fr
les renois du havre c'est des bon barges,0,fr
mais je suis tout fait d'accord avec vous. je ne suis pas un islamo-gauchiste et je ne nie pas l'antisem...,0,fr
juste un gauchiste toujours à donner des leçons de morale,0,fr
us 11 morts dans l’attaque de la synagogue assaillant arrêté un néo nazi complotiste anti…,0,fr
pareil moi c est tout le temps de la violence genre j assisté à un meurtre,0,fr
putain j'ai tellement peur devant tant d'argument d'attardé,1,fr
d'autres moyens sont déployés pour empêcher l'exode de migrants economiques africains et décourager leur transit pa…,0,fr
candidate démocrate en iowa interview sur les menaces contre l’avortement en oregon États qui ont commencé à vote…,1,fr
un gros mongol qui va porter plainte pour un compte parodique heureusement que la hon…,1,fr
ya des renois dans tl cest mariage franchement,1,fr
tu rigolais aussi quand charb allait acheter son pain avec une protection policière pauvre gauchiste demeuré ?,1,fr
vous comprenez tout de travers. il n'appelle pas les africains à franciser leurs noms…,0,fr
et je vois pas en quoi traiter de mongol serait une insulte ? espèce de russe,0,fr
les frères musulmans dans tout leur délire complotiste antisémite et supprémaciste,1,fr
nikomouk sale arabe toi et ton poignet tordu — azzedine fdp tout trikard ta grand mere,1,fr
bien des migrants vivaient aussi dans l'illégalité aux États-unis,0,fr
mairie socialope islamo-gauchiste traitre à la france pour résumer,0,fr
le secours catholique ardent promoteur de l'ensauvagement et de l'islamisation de l'europe ! son catholicisme dévo…,1,fr
vous connaissez un autre mot que extreme droite madame la gauchiste? ca fait un peu cuc...,0,fr
l'islamisation de la france en pleine expansionle résultat de l'infiltration des musulmans ds ts les strates de la…,0,fr
- grèce : augmentation du nombre d’enfants réfugiés et migrants…,0,fr
dois mongol,1,fr
les rebeus il glo à la fac grâce à la barbe,0,fr
les latinos les renois,1,fr
il également laissé entendre qu'islam = terrorisme. tranquillou un samedi soir sur une chaîne du se…,1,fr
eh bin tu restes à oran!!! sale arabe que tu es,1,fr
les tutos en français sur youtube c’est insupportable les 3/4 des vidéos c’est des mecs ils te parlent comme si t’étais un attardé,0,fr
alors pourquoi cette condamnation ? la faute à une justice « gauchiste » à de mauvaises fréquentations ?! vous ête…,1,fr
dirait un gros daron antillais sur la derniere,0,fr
plutôt déçu du début de la s6 de house cards qui s'attarde trop sur l'héritage de francis et pas assez sur l'évo…,0,fr
ah arrive le gauchiste ne supportant pas qu'on ne puisse avoir un avis different. bon blocage faites vous plaisir,0,fr
ptdrrrrr même aps c’est pck il fait que dès truc et sais que la plupart des renois d…,1,fr
je ne suis pas un gauchiste comme tu le dis. je ne suis jamais considere de gauche. toi tu es...,0,fr
ce qui tue c'est que meme offset il en marre de cardi b wallah apars sa reuss personne peut la supporte cette grosse mongol,1,fr
ah oui le tryptique immigration délinquance terrorisme. qui est conforté par le nombre d'attentats te…,1,fr
mais ferme ta gueule les renois fake woke ptn,1,fr
arrêtez de crier à l'invasion quand la méditerranée est devenu le cimetière de la majorité des mig…,1,fr
tkt ses des mongol,1,fr
c pas pro wallah c à cause d’eux qu’on est tous vu comme des mongol,1,fr
ouais mais si les arabes ont perdu la et pas ailleurs c'est aussi parce que nous…,0,fr
les chemins montagneux à 1700 m: les nouvelles voies empruntées par les migrants africains pour rejoindre l’italie…,1,fr
tout comme l'allemand mène au nazisme quel attardé ce mec,1,fr
quand croise des rebeus,1,fr
mdrrrrr engage sale arabe,1,fr
inviter des arabes et des noirs sur un plateau télé c’est p…,1,fr
un vlog d'attardé à l'ancienne,1,fr
les renois à rennes savent que courir,1,fr
je suis en train de nettoyer chambre et vous savez sur quoi je m’attarde le plus ? le rangement de mon makeup ma…,1,fr
? quelle forme de violence ? je pose juste la question de savoir ce q…,0,fr
série d’agressions avec violence : “des faits de trop mais peu nombreux” en corse,1,fr
bah meilleur que tes mensonges de naïf attardé qui croit que la loi…,1,fr
je déteste alain soral. c’est un raciste antisémite complotiste manipulateur,0,fr
si vous voulez mon avis le patient mike doit canaliser tout son amour sous forme de violence...,0,fr
le probleme c'est qu'un gauchiste profond peut rédiger un tel tweet. gauche=maladie mentale,1,fr
blabla de politicard attardé cherchant le buzz,0,fr
mongol,1,fr
bon les renois vous êtes retourné chez h&amp;m depuis votre cinéma là ?,1,fr
bouahahhaa il se branle sur les cosplay de sneaky cet attardé,0,fr
pour en finir avec la cruelle imposture des migrants (4/4) - abbé olivie... via,1,fr
non mais c'est quoi ce mongol macron il vit dans quel monde,0,fr
èlement sociale. piratage informatique. vandalisme auto,0,fr
même histoire bi-llahi.. alala les hommes des vrais mongol pour la plus part,1,fr
mdrr dirait le mien j’dois le réanimer toutes les 5 minutes ce mongol..,1,fr
c'est un helicoptere attarde mental,1,fr
jeu chui attardé ui,1,fr
t'est matrixé ou juste attardé gros fdp?,1,fr
mdrr fallou mongol un vrai saï saï regardez le deal qu’il pose à l’animatrice...,1,fr
rilès quand il lâche 2 3 mots rebeus dans ses sons il mtue,1,fr
faut vraiment être un attardé mentale pour dire le projet de post malone c’est l’album de l’année,0,fr
en quoi dire sale arabe relève de la dénonciation légitime des…,0,fr
c'est là qu'on voit que ce sont des réfugiés parce que dans son pays il aurait au moins une machette.,1,fr
et le rire de ce mongol de lucas tout bourré,1,fr
merde aux juifsmerde aux arabesmerdes aux blancs aux noirs.nous sommes des humains un point c est tout !,0,fr
putain ce gars... même quand j'étais jeune et gauchiste je ne pouvais pas le voir en peinture ce fdp !,1,fr
les rebeus tu leur files un flingue ou une grosse cylindrée ils se sentent plus pisser....,1,fr
- dans ce genre le rap mongol vaut le détour !,1,fr
comme tout bon gauchiste qui se respecte vous préférez critiquer le fait que l’on ai parlé de ce type…,1,fr
le gvt de n'a pas l'intention d'expulser les mineurs marocains et leurs fami…,0,fr
nasser kiffe les rebeus cherche pas,1,fr
ras-le-bol massif de l'islamisation d…,1,fr
il faut se poser la question : la france veut-elle encore plus de violence et d'agressions? car…,0,fr
qué mongol ce germain il court jusqu’au champs Élysée au lieu de rester placé devant les cages,0,fr
la diarrhee gauchiste en pls...n,1,fr
vive les rebeus,0,fr
pensez-vous que les rebeus et renois s’aiment réellement ?,0,fr
les meufs renois grosse c ultra rare jai limpression,1,fr
je suis le copain un peu bizarre celui que t'aime bien malgré le fait qu'il soit un peu attardé,1,fr
mais dirait les renois c’est pas des êtres humains vu comment il en parle????,1,fr
2/2 de predateurs mangent aussi par gout renseigne toi le chat est l...exemple par...,0,fr
grèce: les transferts de réfugiés et migrants vers le continent s’accélèrent,0,fr
40 années de laxisme gauchiste !!!!,1,fr
je déteste sale arabe,1,fr
utopie gauchiste,0,fr
l'attardé qui marque,0,fr
t’aimes bien les rebeus ? — j’ai rien contre mdrr,1,fr
absolument rien compris tu viens de dire que t’étais à l’école espèce d’attardé,1,fr
merci pour l...insulte.n,0,fr
mais joséphine arrive à pecho des rebeus avec sa couleur de cheveux? — mdr vous la sous-estimez beaucoup trop,1,fr
la logique d'un gauchiste,0,fr
avec tout ses rebeu et ses renois en Éric zemmour du faire une dépression quand la gagné la coupe du monde.,1,fr
ostie que t'es mongol,1,fr
bz tes morts sale juif,1,fr
soral dieudonné sur les juifs : c'e…,1,fr
les sunnites autorisent meurtrespédophiliepolygamie violence contre les femmes etc.tous les pays…,1,fr
normalement en afrique nos dirigent doivent utiliser 50% de dictature et 50% de démocratie,0,fr
vu que je suis métisse quand je traine avec un groupe de renois ils disent tous que je sui…,1,fr
complice ..... tu diras gauchiste c pareil,0,fr
normal aucuns blancs veux des arabes cette salle race veux pas de vous aimes les…,1,fr
ça dépend ou tu vas :) en sicile j'ai vu pas mal de renois et ils avaient pas l'air dégouté ;),1,fr
sauf que les rebeus qui utilisent le terme c'est pour qualifier la fille de prostituée et de ma…,1,fr
la vraie question est: la france veut-elle encore un peu plus de violence !?,0,fr
ils sont aussi complotiste anti-vaccin ?,0,fr
lyon trop de petits rebeus de qualité,1,fr
il semblerait que tu ai ramené un parasite que dis je une maladie vénéri…,1,fr
ok mongol... range ta chambre.,1,fr
les arabes même quand ils sont malades c la faute du mauvais œil,1,fr
mieux que le beat box! le mongol à la branche enflammée,1,fr
j'avoue c'est un gros troll ce mongol x),1,fr
des fils de putes autant que quand aime pas les noirs ou les arabes,1,fr
tu é mongol,1,fr
mais le renois c’est pas le pote de jaymax là ?,1,fr
différentes idéologies ont pu employer le terrorisme au moment opportun. en revanche l'islam politique…,1,fr
les chasseurs cette annee c'est des attardé ou quoi que des dingueries....mais bon tant que c'est pas des noirs ou…,1,fr
couillon gauchiste et vrai cretin genre ! casse-toi !,1,fr
tiens j'ai une blague de mongol pour égayer votre lundi...,1,fr
mskn s'en bat les couilles de bassem il nous raconte ça vie le nombre de cas social chez les renois frère,1,fr
tu plus fait pour la communauté musulmane rohyngia que tous les dirigeants arabes réunis…,0,fr
wallah nous au cinéma un rebeu crier tous le monde répondu : oh ferme ta gueuke va te niker apres il s’est e…,1,fr
ok l'attardé.,1,fr
en toute franchise quel que soient votre origine keske pense vos parents des rebeus en general...,0,fr
paris: un centre d'hébergements pour réfugiés ouvre dans le 16e via …,0,fr
oui mais ce sont les juifs ashkénazes qui ont un qi moyen très élevé et qui ont p…,0,fr
mon voisin du dessus il est pour le psg ce mongol il vient de faire un énorme hurlement en criant « mbappeeeeee » o…,0,fr
des noirs au milieu des rebeus pour la technique c’est mon lyon ça,1,fr
de châtelet à gare du nord tu croise que des renois/ tysmés en survêt + teinture blonde flm,0,fr
sacrilege pas gauchiste ultra gauchiste!!! pour les 30h voire les 24h (3x8) pour le smic a...,1,fr
texte idiot sans doute ecrit par un prof gauchiste de…,1,fr
ptdrr débat d’attardé entre un panarabiste et un nationaliste marocain,1,fr
j’aimerais bien savoir pourquoi « l’islamogauchiste » est votre ennemi principal et…,0,fr
1967 - guerre des six jours manifestations dans le monde en soutien à l'État juif,1,fr
regarder ces attardé ptn est pas dans la merde pour 2019...,0,fr
depuis quand besoinde la tv pour etre informé ??? putain de mongol ca fait peur,1,fr
kabyle et renois,1,fr
ah putain t'es encore plus un attardé en fait,1,fr
critique pas l’5 stp dans l’16 y’a renois qui s’font sucer,1,fr
point immigration islam terrorisme arabe avec marine le pen c’est maintenant! heuuu wauquiez,0,fr
à cergy:dans la rue nus agressant sexuellement les femmes les battant quand elles refusent:ca est:le…,1,fr
kevin il se bat avec tous les rebeus avec une moustache pr mieux froisser berka é,1,fr
sim tu eh outro nivel de mongol,1,fr
ils minimisent totalement le harcèlement etc même pour avoir taffer je reste carrément choquée de la manière dont…,1,fr
tu prefere la violence libre à toi. nous préfère qu il fin…,0,fr
Ça tombe bien le territoire recrute! moûtiers : 19 réfugiés arriveront début octobre,0,fr
jpp t'es un putain de mongol tommy,1,fr
mdsdois mongol,1,fr
bh toi un gros mongol en quoi c drol nab????,1,fr
des clandestins armés s'affrontent devant la fac d'éco-gestion à . les expulser est une urgence…,0,fr
les daronnes renois elles parlent avec les yeux mdrr,1,fr
au jz tu trainais avec des rebeus et des footeux ?,1,fr
putain j'écrit comme un attardé c'est incroyable,1,fr
avec en légende : « les renois toujours dans l’excès »,1,fr
tu sauves des migrants,1,fr
chama de mongol n satanas,1,fr
absolute mongol,1,fr
hier je parlais avec un intello-gauchiste qui m'a dit:nnfaut bien reconnaitre qu'une seule religion aujourd'hui pose,1,fr
èce: les transferts de réfugiés et migrants vers le continent s’accélèrent.,1,fr
comme vous n'êtes pas juif vous êtes con et sale.,1,fr
série d'agressions avec violence : des faits de trop mais peu nombreux en corse,1,fr
ben alors les arabes ne donnent pas de sous à l'unrwa mais le reste du monde oui? Ça donne pas de sous ça récupèr…,1,fr
je vais vous le refaire pour votre plaisir: toi prof gauchiste qui gagne une misere qui critique l'autorite quand,1,fr
Être de gauche voir gauchiste n'est pas un crime non plus.,0,fr
en 77passe dire bjr mon cousinson ami gauchiste avec qui il fait conakry en 1958memel foteh disaitpr rel,0,fr
2 mongol,1,fr
c ca votre problrme les arabes essaye detre sympatique direct dans la violence apres ca minsulte qd jvote fn,1,fr
liverpool l’islam le psg le terrorisme fuck nasser,1,fr
les renois qui sont dans les délires darkskin lighskin kinkin skin foison ils font trop rire ces guignols avec leur classification la,1,fr
(charente libre): l' adopte une loi pour expulser plus vite les migrants : le conseil des ministres italie…,0,fr
l'attardé de bogota,1,fr
mais gros dirait que t’es un mongol t’es sorti 3 fois de chez toi pour trouver t’as l’air d’avoir…,1,fr
petite pensée aux rebeus qui se font contrôler 8 fois par semaine sachez que benalla va acheter chaque matin son j…,1,fr
j’suis contre l’avortement c’est tout,1,fr
jvais changer mongol,1,fr
c'est qui le mongol qui se lève à 4h et qui se pointe au boulot alors qu'il est en vacance? c'est moi ;),1,fr
mongol,1,fr
indecrottable gauchiste e.n.!,1,fr
weeeee joyeux anniversaire sale juif,1,fr
wallah wallah axel il est trop marrant ce mongol il régale,1,fr
peut-on imposer son (4x4 qui pue | caractère pourri | imbécilité | violence | chat | incontinence | a…,0,fr
je sais très bien mais je pouvais pas citer les origines de tt les renois logique,1,fr
pq j’vois au states les renois il saute à l’eau avec des chaussettes et tout mdrr,0,fr
« c’est pas un drame en soit » mais tu m’a qd même traite de « mongol » pe…,0,fr
d’ailleursil un mec dans classe (vrai 2001 attardé) « les filles qui prennent des nudes c des putes » forc…,1,fr
la société médiatique française est très branchée multiraciale multiculturaliste pro migrants pro immigrés dan…,1,fr
les musiques rebeus ça remonte le moral,1,fr
mon dieu ! ca doit etre formidable d'avoir un cerveau de gauchistes.....,0,fr
un mongol supporter de foot donc un sous chien amoureux de l'islam qui bave,1,fr
n'empêche sans faire l'intellectuel faut vraiment être sacrément attardé et bas mentalement pour aimer regarder ce…,1,fr
il sauvé un être tres cher à moi de la maladie. le croyait mort. mais je sais que c’est dieu qui l’a ramené à…,1,fr
mais qui est l’attardé qui rédigée cette loi de merde ?,1,fr
c'est tout de même un sacré raccourci que de relier les rothschild à une théorie du complot antisémite…,1,fr
confÉrence – tintin dans les pays arabes,0,fr
l'endoctrinement gauchiste fonctionne plein pot sur des cliches leur pille leurs richesses le...,0,fr
tout les jours negro c'est fridayyyyyyyy,0,fr
grèce: les transferts de réfugiés et migrants vers le continent s’accélèrent,1,fr
non je connais juste le commentaire que tu partages tout fièrement et qui prouve que t’es juste un attardé pour oser en rigoler,1,fr
t'as vu mgl ? j'ai réuni les sœurs tiramisu les rebeus dégradés les pp mangas et les lgbt pour hagar,1,fr
le t4 de prison lab permet d'appréhender un peu mieux l'organisation de cette expérience malsaine. s'attarde bea…,1,fr
l'islam interdit le terrorisme de la manière la plus claire :,0,fr
« kinkinkin moi je préfère qu’on trompe pas tout court » vous êtes attardé ou quoi c’est comme si jvous dit « oa…,1,fr
grosso modo les ouïghours sont un peuple turc (ou turco-mongol) et musulman. bien s…,0,fr
ouais bien sur et j met chaussure gauche au pied droit jui pas un attarde non plus fdp,1,fr
quand fait du choc des civilisations la base de la lutte contre le terrorisme revigore l'at…,0,fr
un témoin de l'empreinte des presque trois cents ans d'existence cumulées de l'empire mongol et de la horde d'or.,0,fr
ps mais el acquiaissais tout ce qu'el disait el disait à la russe laisser tomber faut ps par…,0,fr
ils ont du mal,0,fr
gngn mongol tveu jle dise comment sans citer au moins 1 fois,1,fr
cc,1,fr
en écoutant cette chanson en entier se rend compte des influences arabes grâce aux sonorités utilisées en fond.…,0,fr
le terrorisme intellectuel du lobby homosexuel à la mairie de paris en parle?,1,fr
j'ai juste lu onfray gauchiste et j'ai arrete,0,fr
qui est le plus gros attardé ?,1,fr
l’islam valide le terrorisme et ne s’y oppose pas ce que fait daesh n’est absolument pas e…,1,fr
g envie de pleurer pourquoi les darons renois sont pas comme ça ?,1,fr
je vois donc être contre l'avortement c'est être contre la liberté de la femme ? cela n'a aucun rapport…,0,fr
cette gauche qui bouffe du curé à longueur de journéequi nous abreuve d'anticléricalisme depuis des décenniesvien…,1,fr
mdrrrr sale arabe,1,fr
tous ces gens qui refusent de céder au terrorisme intellectuel ça doit en effrayer plus d'un.,0,fr
le 28 septembre c'est la journée mondiale pour le droit à l'avortement : contre les tentatives réactionnaires de re…,0,fr
et que dire du halal et du casher? sur le halal le gauchiste garde le silence en parlant de communauté opprimée…,0,fr
lorsqu'ils vont te traîter de sale arabe qui fait du désordre en f…,1,fr
att. un mongol,1,fr
gros attardé,1,fr
eh (nn mais la ct pas le mongol ),1,fr
les renois et leurs flow c'est tellement une douceur pour les yeux :)),0,fr
macron annonce la création d'un musée-mémorial pour les victimes du terrorisme via…,0,fr
êtes vous pour ou contre l’avortement ?,0,fr
les rothschild sont dans la grande finance et rothschild = juif dans l’inconscient collecti…,0,fr
‘’ eux ils ont jamais froid ils ont peur des noirs et des arabes mais ils ont pas peur du froid ‘’ aller hop il refait matinée,1,fr
« les partisans » la romance d'une dérive gauchiste |,1,fr
les traversent la mer et trouvent les aides sociales…,1,fr
zohra madame est une islamo gauchiste ils ne rigolent que des blancs asservis et des dhimmis,0,fr
jme met en privé il casse les pieds le gros mongol qui cite,1,fr
« tu doit une mongol » oui oui mon cœur.,1,fr
les vegans sons des attardé qui font de la manipulation ses une forme de secte,1,fr
le jour ou m’a dis si jt arabe mdr jspr que ça ne se reproduira plus mm si les rebeus waw mais n’abusons pas…,1,fr
pays attardé.,1,fr
bien d'accord. jamais l'intolérance gauchiste n'a été aussi violente avec la complicité des gouvernants de la gra…,1,fr
l'ua ne sert à rien elle est financé par l'occident qui lui dicte sa conduite la crise des migrants l'ua…,0,fr
j’aime trop acheter un kebab et que tous les darons rebeus lâchent un starfoullah quand je débarque,1,fr
dans l’extrait y’a lacrim il cri comme un mongol crois il le flow de 69 ptn,1,fr
si tu considère que c'est la nature je pense que tu es contre l'avortement bien entendu ?,0,fr
la gauche pro islam antisémite n'aura jamais la dignité de respecter les morts!,0,fr
trump réduit encore l’accueil de réfugiés aux États-unis,1,fr
il se demande s'il bien fait de se mettre avec une mante qui fait du chant mongol.,0,fr
meilleure amie sort avec un enfant attarde qui aime la neige...,1,fr
y’a bcp de renois quand mm parmi ces folles,1,fr
quand aux évêques qui bataillent contre la pma pourquoi l'avortement ou la contraception provoqueraient un gé…,1,fr
tu sauras que ca s'appelle la chaine alimentaire apprend ca l'ecole,0,fr
comme d'habitude !! pauvre petit bonhomme !!! il n'y pas d'élections en afrique ?? vous se…,0,fr
plein d'animaux seront en voie d...extinction donc dit merci qui merci mussoli et aux fermier,0,fr
mdrrrrr une meuf côté de moi elle est grave raciste elle dit ouais ses potes c des renois ça m'étonne pas q…,0,fr
les complotiste c une espèce d'humain comprenant pleins de sous espèces ya les chemtrail les anti-vax les illumi…,1,fr
quand des experts arabes éclairent l'islam du xxème siècle &gt; dirigé par + épuration la mecque nou…,0,fr
les présidents azerbaïdjanais et mongol se rencontrent à bakou,1,fr
le ne vient pas d'une religion.,0,fr
petit cochon capitaliste pro dictatures islamo nazies maçon complotiste pervers et anti peuple celto romano francs…,1,fr
mdrrrrrr sale arabe,1,fr
j’devais commencer à 8h15 mais j’suis encore le tram ça fout la haine psq c’est toujours les renois dans mon am…,0,fr
y’a des gens je les aime bien puis après j’apprends qu’ils sont homophobes contre l’avortement et racistes très bien,0,fr
lis surtout les papiers signés par et philippe leclercq. ne t'attarde p…,0,fr
dois mongol,1,fr
plus qu’un mois avant de revoir cet attardé enfin,0,fr
chacun ses goûts la beauté reste subjective. certaines renois mettent des baffes à…,0,fr
sa fait 15 bande d'attardé,1,fr
ben exactement,0,fr
je déteste le président ces un gros enculée. il donne des emplois au réfugiés que des personnes comme moi que je ch…,1,fr
et que dis-tu de : qualifier de violence les dégradations ou les sabotage…,0,fr
avec ta bénédiction cher gauchiste …,0,fr
bah jsp t’aime bien les renois ? — bah oui.... communautarisme,1,fr
mdrrr bah putain je suis un vrai mongol,1,fr
alors espece d'abruti profond l'etre humain est au sommet de la chaine alimentaire. donc pauvre con,1,fr
feuilleton bêtisier (3)cohn bendit parlant de jlm un complotiste anti macronien normal vu sa formation trotzkiste…,1,fr
va te faire soigner l'attardé.,1,fr
non mais c’était un sarcasme mongol... t’es vraiment pas fini,1,fr
mongol ace,1,fr
: s'attarde sur la relation chaotique entre pouvoirs judiciaire et politique…,1,fr
nan c’est pas à cause de clarie c’est à cause de son sale arabe mdrr,1,fr
un lion ne mange pas que de la viande meme si c...est l...essentiel pour lui. donc cal...,0,fr
ptdrr qu'est ce qui raconte cet attarde encore ? il parle de mon quartier comme si c'etait l'anarchie j'pleure,0,fr
mais si tu n'es ni de droite ni de gauche tu te situes certainement l'extreme droite . j'prefere etre gauchiste,0,fr
